ortholog	function	Homo_sapiens	Mus_musculus
ENOG410VBQ1	RCE1 homolog, prenyl protein protease (S. cerevisiae)	ENSP00000309163	ENSMUSP00000025823
ENOG410VBQ8	Ephrin-B3	ENSP00000226091	ENSMUSP00000004036
ENOG410VD0R	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	ENSP00000374574	ENSMUSP00000021046
ENOG410VD0Q	Charged multivesicular body protein	ENSP00000217402, ENSP00000297265	ENSMUSP00000036206, ENSMUSP00000029049
ENOG410VKRH	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	ENSP00000354728	ENSMUSP00000081021, ENSMUSP00000085674
ENOG410VKRU	HIG1 hypoxia inducible domain family, member 1C	ENSP00000381473	ENSMUSP00000134848
ENOG410VKRR	serine-rich and transmembrane domain containing 1	ENSP00000325776	ENSMUSP00000064870
ENOG410VKR7	Chromosome 17 open reading frame 67	ENSP00000380960	ENSMUSP00000098184
ENOG410VKR5	Chemokine C-X-C motif ligand 10	ENSP00000305651	ENSMUSP00000047646
ENOG410V4UQ	Sulfotransferase	ENSP00000321988, ENSP00000343645, ENSP00000333310, ENSP00000319622, ENSP00000272452, ENSP00000339221, ENSP00000338742, ENSP00000308770, ENSP00000226444	ENSMUSP00000108940, ENSMUSP00000101980, ENSMUSP00000023886, ENSMUSP00000024738, ENSMUSP00000031201, ENSMUSP00000031199
ENOG410V4T1	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member	ENSP00000262188, ENSP00000378414, ENSP00000392617	ENSMUSP00000030791, ENSMUSP00000021052, ENSMUSP00000023759
ENOG410V4T8	Calsequestrin is a high-capacity, moderate affinity, calcium-binding protein and thus acts as an internal calcium store in muscle. The release of calcium bound to calsequestrin through a calcium release channel triggers muscle contraction (By similarity)	ENSP00000357057, ENSP00000261448	ENSMUSP00000029454, ENSMUSP00000003554
ENOG410V4TR	ribosomal RNA processing 7 homolog A (S. cerevisiae)	ENSP00000321449	ENSMUSP00000018184
ENOG410V4TG	LIM domains containing 1	ENSP00000273317, ENSP00000270288, ENSP00000262713	ENSMUSP00000056977, ENSMUSP00000047623, ENSMUSP00000026269
ENOG410V4TF	Discoidin, CUB and LCCL domain containing	ENSP00000296955, ENSP00000321573	ENSMUSP00000068203, ENSMUSP00000039915
ENOG410WH7B	Neural cell adhesion molecule 2	ENSP00000383392	ENSMUSP00000063468
ENOG410WH7T	down syndrome cell adhesion molecule	ENSP00000383303	ENSMUSP00000056040
ENOG410WH7Q	immunoglobulin superfamily member	ENSP00000357073, ENSP00000317980	ENSMUSP00000117017
ENOG410WH7P	sidekick cell adhesion molecule 2	ENSP00000376421	ENSMUSP00000038972
ENOG410WH7S	down syndrome cell adhesion molecule	ENSP00000315465	ENSMUSP00000034592
ENOG410WH7Y	N(alpha)-acetyltransferase 60, NatF catalytic subunit	ENSP00000385903	ENSMUSP00000006138
ENOG410WH7X	CSRP2 binding protein	ENSP00000278816	ENSMUSP00000028911
ENOG410VB7Z	COMM domain containing 3	ENSP00000366032	ENSMUSP00000049882
ENOG410VB7A	chromosome 9 open reading frame 152	ENSP00000383456	ENSMUSP00000068932
ENOG410WE3U	family with sequence similarity 109, member B	ENSP00000312753	ENSMUSP00000060598
ENOG410VB71	WD repeat domain 41	ENSP00000296679	ENSMUSP00000055145
ENOG410VB78	coiled-coil domain containing 130	ENSP00000221554	ENSMUSP00000096177
ENOG410VB79	transmembrane and ubiquitin-like domain containing 1	ENSP00000297533	ENSMUSP00000030799
ENOG410WG6R	Peptidyl-prolyl cis-trans isomerase	ENSP00000238256	ENSMUSP00000081575
ENOG410VGAY	granzyme H (cathepsin G-like 2, protein h-CCPX)	ENSP00000216338	ENSMUSP00000086978, ENSMUSP00000022757, ENSMUSP00000015587, ENSMUSP00000080742
ENOG410VGAB	olfactory receptor, family 51, subfamily S, member 1	ENSP00000322754	ENSMUSP00000062385
ENOG410VF89	smoothelin-like 1	ENSP00000406485	ENSMUSP00000028471
ENOG410VF88	B-cell CLL lymphoma 10	ENSP00000271015	ENSMUSP00000029842
ENOG410VF81	Lectin galactoside-binding soluble 3	ENSP00000254301	ENSMUSP00000114350
ENOG410VF82	RING finger protein 25	ENSP00000295704	ENSMUSP00000027357
ENOG410VF84	RAS-like, family 11, member B	ENSP00000248706	ENSMUSP00000053389
ENOG410VF8E	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase-like 5	ENSP00000376548	ENSMUSP00000030778
ENOG410VF8Z	kiaa2018	ENSP00000320794	ENSMUSP00000112620
ENOG410VF8Q	Chromosome 22 open reading frame 23	ENSP00000249079	ENSMUSP00000129244
ENOG410VF8R	transmembrane protein 37	ENSP00000303148	ENSMUSP00000050862
ENOG410VF8U	chromosome 4 open reading frame 22	ENSP00000425786	ENSMUSP00000079208
ENOG410VF8T	Biliverdin reductase B (Flavin reductase (NADPH))	ENSP00000263368	ENSMUSP00000043092
ENOG410WIZB	tripartite motif containing 62	ENSP00000291416	ENSMUSP00000039121
ENOG410VMG2	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	ENSP00000342889	ENSMUSP00000051968
ENOG410VMG7	Thymosin beta 4	ENSP00000370007, ENSP00000457601	ENSMUSP00000107795
ENOG410VMGK	transition protein 1 (during histone to protamine replacement)	ENSP00000236979	ENSMUSP00000027374
ENOG410VMGB	secretoglobin, family 1A, member 1 (uteroglobin)	ENSP00000278282	ENSMUSP00000025554
ENOG410VMGS	Defensin alpha	ENSP00000297436	ENSMUSP00000129593, ENSMUSP00000096498, ENSMUSP00000081054, ENSMUSP00000079376, ENSMUSP00000096492, ENSMUSP00000078485, ENSMUSP00000126797, ENSMUSP00000096495, ENSMUSP00000125888, ENSMUSP00000096497, ENSMUSP00000081055
ENOG410VMGP	Chemokine (C-C motif) ligand 1	ENSP00000225842	ENSMUSP00000103824
ENOG410WIS3	CDC42 binding protein kinase beta (DMPK-like)	ENSP00000355237	ENSMUSP00000042565
ENOG410VFGP	ring finger protein 186	ENSP00000364263	ENSMUSP00000111780
ENOG410VFGR	acyloxyacyl hydrolase (neutrophil)	ENSP00000258749	ENSMUSP00000021757
ENOG410VFGB	cytochrome b-245, alpha polypeptide	ENSP00000261623	ENSMUSP00000017604
ENOG410VFGM	Tetraspanin 8	ENSP00000247829	ENSMUSP00000049243
ENOG410VFGN	GRB2-related adaptor protein 2	ENSP00000339186	ENSMUSP00000046532
ENOG410VFGK	Gasdermin C	ENSP00000276708	ENSMUSP00000087344, ENSMUSP00000087339, ENSMUSP00000105752, ENSMUSP00000066072
ENOG410VBFG	sperm associated antigen 17	ENSP00000337804	ENSMUSP00000134066
ENOG410VBFF	Chaperonin containing Tcp1, subunit 3 (Gamma)	ENSP00000295688	ENSMUSP00000001452
ENOG410VBFE	Ephrin-B1	ENSP00000204961	ENSMUSP00000050716
ENOG410VBFD	Ubiquitin specific peptidase	ENSP00000431876, ENSP00000303434	ENSMUSP00000039943, ENSMUSP00000137726
ENOG410VBFA	alpha-amylase	ENSP00000354610, ENSP00000359100, ENSP00000330484, ENSP00000397582, ENSP00000359096	ENSMUSP00000096270, ENSMUSP00000137025, ENSMUSP00000070368, ENSMUSP00000136894, ENSMUSP00000096264
ENOG410VBFM	cofactor of BRCA1	ENSP00000339495	ENSMUSP00000057731
ENOG410VBFJ	Coiled-coil domain containing 87	ENSP00000328487	ENSMUSP00000086028
ENOG410VBFI	Cas scaffolding protein family member 4	ENSP00000353462	ENSMUSP00000104764
ENOG410VBFH	WD repeat domain	ENSP00000330381, ENSP00000351446	ENSMUSP00000109585
ENOG410VBFV	Coatomer protein complex, subunit epsilon	ENSP00000262812	ENSMUSP00000071078
ENOG410VBFU	mitochondrial ribosomal protein, L28	ENSP00000199706	ENSMUSP00000025014
ENOG410VBFT	Ring finger protein	ENSP00000342121, ENSP00000253571	ENSMUSP00000070662, ENSMUSP00000067559
ENOG410VBFS	replication termination factor 2 domain containing 1	ENSP00000023939	ENSMUSP00000029005
ENOG410VBFQ	zinc finger protein 207	ENSP00000378165	ENSMUSP00000054168
ENOG410VBFZ	ecdysoneless homolog (Drosophila)	ENSP00000401566	ENSMUSP00000022344
ENOG410VBFX	family with sequence similarity 53, member A	ENSP00000310057	ENSMUSP00000045539
ENOG410VBF6	glutamine synthetase	ENSP00000307900	ENSMUSP00000083375
ENOG410VBF5	ubiquitin specific peptidase	ENSP00000359869, ENSP00000258399, ENSP00000254181	ENSMUSP00000035445, ENSMUSP00000062349, ENSMUSP00000069140
ENOG410VBF4	N(alpha)-acetyltransferase 20, NatB catalytic subunit	ENSP00000335636	ENSMUSP00000002805
ENOG410VBF3	bromodomain adjacent to zinc finger domain, 1B	ENSP00000460410, ENSP00000342434	ENSMUSP00000002825
ENOG410VBF2	Receptor for trace amines, including beta- phenylethylamine (b-PEA), p-tyramine (p-TYR), octopamine and tryptamine, with highest affinity for b-PEA and p-TYR. Unresponsive to classical biogenic amines, such as epinephrine and histamine and only partially activated by dopamine and serotonine. Trace amines are biogenic amines present in very low levels in mammalian tissues. Although some trace amines have clearly defined roles as neurotransmitters in invertebrates, the extent to which they function as true neurotransmitters in vertebrates has remained speculative. Trace amines are likely to be involved in a variety of physiological functions that have yet to be fully understood. The signal transduced by this receptor is mediated by the G(s)-class of G-proteins which activate adenylate cyclase	ENSP00000275216	ENSMUSP00000090330, ENSMUSP00000049527
ENOG410VBF1	Na K transporting ATPase interacting	ENSP00000357402, ENSP00000362841	ENSMUSP00000101614
ENOG410VBF0	glutathione S-transferase kappa 1	ENSP00000431049	ENSMUSP00000031897
ENOG410VBF8	anaphase promoting complex subunit 7	ENSP00000394394	ENSMUSP00000031422
ENOG410VGM5	WAP four-disulfide core domain 8	ENSP00000289953	ENSMUSP00000104962
ENOG410VGM9	Coiled-coil domain containing 121	ENSP00000412150	ENSMUSP00000031020, ENSMUSP00000098441, ENSMUSP00000049839, ENSMUSP00000052294
ENOG410VGMS	MKRN2 antisense RNA 1	ENSP00000455385	ENSMUSP00000108580
ENOG410VGMU	forkhead box Q1	ENSP00000296839	ENSMUSP00000036952
ENOG410WI3V	ATP5S-like	ENSP00000403910	ENSMUSP00000083115
ENOG410V4DC	Dipeptidase	ENSP00000268793, ENSP00000261615, ENSP00000377430	ENSMUSP00000034371, ENSMUSP00000019422, ENSMUSP00000080659
ENOG410V508	Serine threonine kinase 33	ENSP00000320754	ENSMUSP00000087897
ENOG410V506	thyrotropin-releasing hormone receptor	ENSP00000309818	ENSMUSP00000036320, ENSMUSP00000042575
ENOG410V505	LRP2 binding protein	ENSP00000332681	ENSMUSP00000106009
ENOG410V50J	DEAD (Asp-Glu-Ala-Asp) box	ENSP00000306117, ENSP00000263576, ENSP00000288071	ENSMUSP00000034612, ENSMUSP00000066806, ENSMUSP00000047898
ENOG410V50H	Zinc finger, DHHC-type containing	ENSP00000296127, ENSP00000341681	ENSMUSP00000034280, ENSMUSP00000117392
ENOG410V50N	abl-interactor 2	ENSP00000225941, ENSP00000261017	ENSMUSP00000058754, ENSMUSP00000118491, ENSMUSP00000061893
ENOG410V50G	solute carrier family 9, subfamily C (Na -transporting carboxylic acid decarboxylase), member 1	ENSP00000356687, ENSP00000306627	ENSMUSP00000124969
ENOG410V50D	zinc finger, C3H1-type containing	ENSP00000368017	ENSMUSP00000044069
ENOG410V50Y	transmembrane and coiled-coil domains 5A	ENSP00000327234	ENSMUSP00000028834
ENOG410V50R	protein tyrosine phosphatase receptor type	ENSP00000334928, ENSP00000266688, ENSP00000400010, ENSP00000281171	ENSMUSP00000076364, ENSMUSP00000089805, ENSMUSP00000058572, ENSMUSP00000129592
ENOG410V50Q	olfactory receptor	ENSP00000323895	ENSMUSP00000075863, ENSMUSP00000076315, ENSMUSP00000073139, ENSMUSP00000049930
ENOG410V50V	coenzyme Q2 homolog, prenyltransferase (yeast)	ENSP00000310873	ENSMUSP00000031262
ENOG410V50W	isocitrate dehydrogenase 3 (NAD ) alpha	ENSP00000299518	ENSMUSP00000127526
ENOG410V4DJ	N-acetylated alpha-linked acidic	ENSP00000256999, ENSP00000432481, ENSP00000351484	ENSMUSP00000001824, ENSMUSP00000128674, ENSMUSP00000044231
ENOG410V6ZG	Ubiquitin domain containing	ENSP00000377381, ENSP00000359698	ENSMUSP00000056765, ENSMUSP00000026170
ENOG410VHKK	Proteoglycan 2, bone marrow	ENSP00000312134	ENSMUSP00000028467
ENOG410VHKH	proteasome (prosome, macropain) assembly chaperone 4	ENSP00000392353	ENSMUSP00000115881
ENOG410VHKM	chromosome 1 open reading frame 100	ENSP00000311218	ENSMUSP00000016106
ENOG410VHKB	synuclein, alpha (non A4 component of amyloid precursor)	ENSP00000338345	ENSMUSP00000109907
ENOG410VHKC	ATP synthase H transporting mitochondrial F1 complex delta subunit	ENSP00000215375	ENSMUSP00000003156
ENOG410VHKA	RAB interacting factor	ENSP00000356231	ENSMUSP00000038335
ENOG410VHKF	chromosome 9 open reading frame 153	ENSP00000365169	ENSMUSP00000061773
ENOG410VHKD	suppressor of Ty 4 homolog 1 (S. cerevisiae)	ENSP00000225504	ENSMUSP00000091487
ENOG410VHKE	Histone H2A	ENSP00000341094, ENSP00000259791, ENSP00000330307	ENSMUSP00000077477
ENOG410VHKQ	ribosomal protein L28	ENSP00000401450	ENSMUSP00000032597
ENOG410VHKT	Fatty acid binding protein 3, muscle and heart (Mammary-derived growth inhibitor)	ENSP00000362817	ENSMUSP00000136633, ENSMUSP00000070709
ENOG410VHK8	DPY30 domain containing 1	ENSP00000361276	ENSMUSP00000022315
ENOG410VHK9	and LPS-mediated activation of the central mediator of innate immunity NF-kappa-B by promoting TNF-alpha-mediated proteasomal degradation of ubiquitinated-I-kappa-B-alpha. Required for TNF-alpha-induced p65 nuclear translocation in renal tubular epithelial cells (RTECs). May be involved in dendritic cell (DC) maturation, the process by which immature dendritic cells differentiate into fully competent antigen-presenting cells that initiate T-cell responses. Mediates mitotic non-disjunction and chromosome instability, in long-term in vitro culture and cancers, by abbreviating mitotic phase and impairing the kinetochore localization of MAD2L1 during the prometaphase stage of the cell cycle. May be involved in the formation of aggresomes when proteasome is saturated or impaired. Mediates apoptosis in a caspase-dependent manner, especially in renal epithelium and tubular cells during renal diseases	ENSP00000373039, ENSP00000373137, ENSP00000410416, ENSP00000396152, ENSP00000366249, ENSP00000396477, ENSP00000398539	ENSMUSP00000035808
ENOG410VHK2	vitamin K epoxide reductase complex subunit	ENSP00000431371, ENSP00000378426, ENSP00000353998	ENSMUSP00000073601, ENSMUSP00000033074, ENSMUSP00000123566
ENOG410VHK0	chromosome 1 open reading frame 21	ENSP00000235307	ENSMUSP00000036406
ENOG410VHK6	Ribosomal protein	ENSP00000346046, ENSP00000346045	ENSMUSP00000079628
ENOG410VHK7	mitochondrial ribosomal protein, L14	ENSP00000361084	ENSMUSP00000024734
ENOG410VHK4	cytoChrome c oxidase subunit	ENSP00000317780	ENSMUSP00000000090
ENOG410VN7S	polymerase (DNA-directed), epsilon 4, accessory subunit	ENSP00000420176	ENSMUSP00000093462
ENOG410V4D4	neurexophilin and PC-esterase domain family, member 3	ENSP00000273347	ENSMUSP00000097296
ENOG410V4D8	Ring finger protein	ENSP00000321330, ENSP00000259939	ENSMUSP00000020971, ENSMUSP00000071017
ENOG410V8FM	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	ENSP00000321343	ENSMUSP00000074764
ENOG410V8FN	Solute carrier family 10 (Sodium bile acid cotransporter family), member 4	ENSP00000273861	ENSMUSP00000031127
ENOG410V8FI	G protein-coupled receptor kinase 1	ENSP00000334876	ENSMUSP00000033827
ENOG410V8FH	Family with sequence similarity 160, member	ENSP00000265978, ENSP00000413196	ENSMUSP00000137163, ENSMUSP00000091700
ENOG410V8FK	family with sequence similarity 214, member	ENSP00000319897, ENSP00000261844	ENSMUSP00000080442, ENSMUSP00000038177
ENOG410V8FJ	Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked	ENSP00000304697, ENSP00000344818	ENSMUSP00000114180, ENSMUSP00000019649
ENOG410V8FE	perilipin 1	ENSP00000300055	ENSMUSP00000032762
ENOG410V8FD	Serine arginine repetitive matrix 2	ENSP00000301740	ENSMUSP00000085993
ENOG410V8FG	dual specificity phosphatase 2	ENSP00000288943	ENSMUSP00000028846
ENOG410V8FF	Splicing factor proline	ENSP00000343966, ENSP00000276079, ENSP00000349748	ENSMUSP00000030623, ENSMUSP00000033673, ENSMUSP00000022507
ENOG410V8FA	Oxysterol-binding protein	ENSP00000296220, ENSP00000379804, ENSP00000412733	ENSMUSP00000039632, ENSMUSP00000124370, ENSMUSP00000038013
ENOG410V8FC	serine threonine kinase 10	ENSP00000176763, ENSP00000358770	ENSMUSP00000099885, ENSMUSP00000049977
ENOG410V8FB	ankyrin repeat and sterile alpha motif domain containing 6	ENSP00000297837	ENSMUSP00000081665
ENOG410V8FX	dual specificity protein phosphatase	ENSP00000240100, ENSP00000239223	ENSMUSP00000025025, ENSMUSP00000033930
ENOG410V8FZ	FAD-dependent oxidoreductase domain containing 1	ENSP00000263578	ENSMUSP00000038924
ENOG410V8FU	ArfGAP with GTPase domain, ankyrin repeat and PH domain	ENSP00000307634, ENSP00000363168, ENSP00000415452, ENSP00000363208, ENSP00000403270, ENSP00000449241, ENSP00000363207, ENSP00000407436, ENSP00000309985, ENSP00000461986, ENSP00000343438, ENSP00000380413, ENSP00000392513	ENSMUSP00000024123, ENSMUSP00000027521, ENSMUSP00000043466
ENOG410V8FT	janus kinase and microtubule interacting protein	ENSP00000386711, ENSP00000265272, ENSP00000298622	ENSMUSP00000065675, ENSMUSP00000080881, ENSMUSP00000038504
ENOG410V8FW	fibroblast growth factor receptor substrate	ENSP00000299293, ENSP00000259748	ENSMUSP00000020381, ENSMUSP00000108921
ENOG410V8FV	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	ENSP00000363779	ENSMUSP00000030140
ENOG410V8FQ	serine threonine kinase 16	ENSP00000379964	ENSMUSP00000027401
ENOG410V8FP	activating signal cointegrator 1 complex subunit	ENSP00000317123, ENSP00000358159	ENSMUSP00000036726, ENSMUSP00000099509
ENOG410V8FS	heparin-binding EGF-like growth factor	ENSP00000230990	ENSMUSP00000025363
ENOG410V8FR	G patch domain containing 1	ENSP00000170564	ENSMUSP00000078632
ENOG410V8F9	Family with sequence similarity 46, member	ENSP00000358458, ENSP00000289166, ENSP00000318298, ENSP00000308575	ENSMUSP00000056015, ENSMUSP00000056872, ENSMUSP00000098850, ENSMUSP00000034802
ENOG410V8F4	myosin light chain	ENSP00000237500, ENSP00000217652, ENSP00000279022	ENSMUSP00000024846, ENSMUSP00000085913, ENSMUSP00000042364
ENOG410V8F7	dihydrolipoyl dehydrogenase	ENSP00000205402	ENSMUSP00000106481
ENOG410V8F6	GTPase activating Rap RanGAP domain-like 3	ENSP00000362485	ENSMUSP00000099874
ENOG410V8F1	At rich interactive domain	ENSP00000264183, ENSP00000347602	ENSMUSP00000106163, ENSMUSP00000035512
ENOG410V8F0	ribonuclease angiogenin inhibitor 1	ENSP00000346402	ENSMUSP00000101651
ENOG410V8F3	Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	ENSP00000260649	ENSMUSP00000024944
ENOG410V8F2	DEAD (Asp-Glu-Ala-Asp) box polypeptide	ENSP00000424838, ENSP00000382840, ENSP00000336725	ENSMUSP00000088729, ENSMUSP00000035261, ENSMUSP00000000804, ENSMUSP00000096769
ENOG410VPFU	WAP four-disulfide core domain 12	ENSP00000361871	ENSMUSP00000050836
ENOG410VD53	Tyrosyl-DNA phosphodiesterase 2	ENSP00000367440	ENSMUSP00000035660
ENOG410VD54	calcium homeostasis modulator 3	ENSP00000358798	ENSMUSP00000136302
ENOG410VD55	PPIases accelerate the folding of proteins (By similarity)	ENSP00000300026, ENSP00000303057	ENSMUSP00000034947, ENSMUSP00000025419
ENOG410VD56	spermatogenic leucine zipper 1	ENSP00000369611	ENSMUSP00000054083
ENOG410VD58	ankyrin repeat domain 65	ENSP00000445688	ENSMUSP00000129173
ENOG410VD59	lysine (K)-specific demethylase	ENSP00000334181, ENSP00000460192, ENSP00000397239, ENSP00000461369	ENSMUSP00000061632
ENOG410VD5A	HESX homeobox 1	ENSP00000295934	ENSMUSP00000041999
ENOG410VD5B	lipoyltransferase 1	ENSP00000342071	ENSMUSP00000038739
ENOG410VD5C	Fanconi anemia, complementation group M	ENSP00000267430	ENSMUSP00000054797
ENOG410VD5E	ATPase, Na K transporting, beta	ENSP00000286371, ENSP00000250111	ENSMUSP00000047353, ENSMUSP00000034983
ENOG410VD5F	BARX homeobox 2	ENSP00000281437	ENSMUSP00000112314
ENOG410VD5G	RanBP-type and C3HC4-type zinc finger containing 1	ENSP00000348632	ENSMUSP00000028964
ENOG410VD5H	Inositol 1,4,5-trisphosphate receptor interacting protein-like 1	ENSP00000355121	ENSMUSP00000106016
ENOG410VD5M	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin)	ENSP00000265361, ENSP00000002829	ENSMUSP00000079400, ENSMUSP00000030568
ENOG410VD5P	focadhesin	ENSP00000344307	ENSMUSP00000095602
ENOG410VD5Q	transmembrane and immunoglobulin domain containing 1	ENSP00000332404	ENSMUSP00000072427
ENOG410VD5S	Glycosyltransferase 54 domain-containing	ENSP00000426225	ENSMUSP00000041629
ENOG410VD5U	Yip1 domain family, member 6	ENSP00000417573	ENSMUSP00000056039
ENOG410VD5V	RAB44, member RAS oncogene family	ENSP00000229824	ENSMUSP00000085253
ENOG410VD5W	chromosome 1 open reading frame 141	ENSP00000360045	ENSMUSP00000030245
ENOG410VD5Y	Leo1, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)	ENSP00000299601	ENSMUSP00000046905
ENOG410VD5Z	membrane-associated ring finger (C3HC4) 5	ENSP00000351813	ENSMUSP00000024078
ENOG410V54D	Stromal cell derived factor 4	ENSP00000353094	ENSMUSP00000053175
ENOG410V54E	Hydroxyacylglutathione hydrolase	ENSP00000380514	ENSMUSP00000113051, ENSMUSP00000077091
ENOG410V54I	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member	ENSP00000329374, ENSP00000348068, ENSP00000298841, ENSP00000333203, ENSP00000376793, ENSP00000337133, ENSP00000335024, ENSP00000342850, ENSP00000342109	ENSMUSP00000042095, ENSMUSP00000077909, ENSMUSP00000098639, ENSMUSP00000098641, ENSMUSP00000105583, ENSMUSP00000082127, ENSMUSP00000021506, ENSMUSP00000082125, ENSMUSP00000044033, ENSMUSP00000058535, ENSMUSP00000021496, ENSMUSP00000033626, ENSMUSP00000093101, ENSMUSP00000082130, ENSMUSP00000045572, ENSMUSP00000072652, ENSMUSP00000074258, ENSMUSP00000105584, ENSMUSP00000021495, ENSMUSP00000073695
ENOG410WIH4	Caspase recruitment domain family, member 11	ENSP00000380150	ENSMUSP00000082941
ENOG410WIH7	WD repeat domain 64	ENSP00000355510	ENSMUSP00000091846
ENOG410WIH6	discs, large homolog 5 (Drosophila)	ENSP00000361467	ENSMUSP00000087879
ENOG410VG80	Olfactory receptor	ENSP00000387523	ENSMUSP00000054778, ENSMUSP00000083664
ENOG410VG85	zinc finger protein 672	ENSP00000421915	ENSMUSP00000060088
ENOG410VG86	Zinc finger protein 446	ENSP00000472802	ENSMUSP00000039073
ENOG410VG8Q	Taste receptor type 2 member	ENSP00000327724	ENSMUSP00000070247
ENOG410VG8S	Armadillo repeat containing, X-linked 5	ENSP00000246174	ENSMUSP00000094045
ENOG410VG8U	growth differentiation factor 5 opposite strand	ENSP00000363495	ENSMUSP00000105257
ENOG410VG8W	May play a role in neuronal development and synaptic plasticity. May be required for neuronal myelin sheath maintenance. May play a role in iron uptake and iron homeostasis. Soluble oligomers are toxic to cultured neuroblastoma cells and induce apoptosis (in vitro). Association with GPC1 (via its heparan sulfate chains) targets PRNP to lipid rafts. Also provides Cu(2 ) or ZN(2 ) for the ascorbate-mediated GPC1 deaminase degradation of its heparan sulfate side chains (By similarity)	ENSP00000368752	ENSMUSP00000088833
ENOG410VG8B	tumor necrosis factor receptor superfamily member 18	ENSP00000328207	ENSMUSP00000099462
ENOG410VG8C	Olfactory receptor	ENSP00000320302	ENSMUSP00000073203, ENSMUSP00000085113, ENSMUSP00000085115, ENSMUSP00000072158, ENSMUSP00000056003
ENOG410VG8E	chromosome 10 open reading frame 62	ENSP00000359674	ENSMUSP00000131279
ENOG410VG8G	zinc finger protein 775	ENSP00000330838	ENSMUSP00000056290
ENOG410VG8M	chromosome 17 open reading frame 105	ENSP00000415662	ENSMUSP00000010985
ENOG410VG8N	SFT2 domain containing	ENSP00000354590, ENSP00000271375	ENSMUSP00000090857, ENSMUSP00000043537, ENSMUSP00000117294
ENOG410WGB8	Nebulin repeat	ENSP00000380505	ENSMUSP00000047763
ENOG410WGB1	connector enhancer of kinase suppressor of Ras 2	ENSP00000368824	ENSMUSP00000026750
ENOG410WGBW	Makorin, ring finger protein, 2	ENSP00000170447	ENSMUSP00000000449
ENOG410WGBB	calcineurin-like phosphoesterase domain containing 1	ENSP00000371193	ENSMUSP00000093992
ENOG410VCQC	Mesencephalic astrocyte-derived neurotrophic factor	ENSP00000432799, ENSP00000454660	ENSMUSP00000124562
ENOG410VCQA	Acid phosphatase 5, tartrate resistant	ENSP00000218758	ENSMUSP00000065425
ENOG410VCQG	mitochondrial ribosomal protein, L40	ENSP00000333401	ENSMUSP00000023391
ENOG410VCQF	Complement component 1, q subcomponent-like 2	ENSP00000272520	ENSMUSP00000037257
ENOG410VCQE	Cell surface proteoglycan (By similarity)	ENSP00000307046	ENSMUSP00000022871
ENOG410VCQD	squalene epoxidase	ENSP00000265896	ENSMUSP00000022977
ENOG410VCQJ	Complement component 4 binding protein, alpha	ENSP00000356037	ENSMUSP00000045443
ENOG410VCQI	akt interacting protein	ENSP00000378152	ENSMUSP00000105238
ENOG410VCQH	bol, boule-like (Drosophila)	ENSP00000314792	ENSMUSP00000084868
ENOG410VCQN	Homer homolog	ENSP00000334382, ENSP00000305632	ENSMUSP00000026922, ENSMUSP00000078093
ENOG410VCQS	Polymerase (RNA) III (DNA directed) polypeptide H	ENSP00000347345	ENSMUSP00000023113
ENOG410VCQR	component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)	ENSP00000256379	ENSMUSP00000002756
ENOG410VCQW	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3)	ENSP00000386531	ENSMUSP00000006053
ENOG410VCQV	high mobility group 20B	ENSP00000328269	ENSMUSP00000020454
ENOG410VCQU	tumor necrosis factor ligand superfamily member 13B	ENSP00000365048	ENSMUSP00000033892
ENOG410VCQT	N-alpha-acetyltransferase 30, NatC catalytic subunit	ENSP00000452521	ENSMUSP00000041450
ENOG410VCQZ	Actin-like	ENSP00000334300, ENSP00000363799	ENSMUSP00000092693, ENSMUSP00000092692
