ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410VCUQ	sodium channel, non-voltage-gated 1 alpha subunit	ENSPTRP00000007816	ENSMUSP00000080164
ENOG410VCUP	ER membrane protein complex subunit 2	ENSPTRP00000035068	ENSMUSP00000022962
ENOG410VCUY	Meteorin, glial cell differentiation regulator-like	ENSPTRP00000016704	ENSMUSP00000038126
ENOG410VCUX	Fibroblast growth factor 3	ENSPTRP00000006880	ENSMUSP00000101518
ENOG410VCUG	kiaa2026	ENSPTRP00000058707	ENSMUSP00000054060
ENOG410VCUF	Negative regulator of ubiquitin-like proteins 1	ENSPTRP00000047545	ENSMUSP00000070265
ENOG410VCUE	tumor protein D52	ENSPTRP00000034846	ENSMUSP00000091943
ENOG410VCUC	Signal recognition particle receptor	ENSPTRP00000026563	ENSMUSP00000035157
ENOG410VCUA	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	ENSPTRP00000014591	ENSMUSP00000039027
ENOG410VCUN	SERPINE1 mRNA binding protein 1	ENSPTRP00000041223	ENSMUSP00000039110
ENOG410VCUM	Collagen type VII alpha 1	ENSPTRP00000025703	ENSMUSP00000026740
ENOG410VCUK	solute carrier family 46 (folate transporter), member 1	ENSPTRP00000015221	ENSMUSP00000001126
ENOG410VCUJ	dysbindin (dystrobrevin binding protein 1) domain containing 2	ENSPTRP00000023264	ENSMUSP00000017878
ENOG410VCUH	coagulation factor VII (serum prothrombin conversion accelerator)	ENSPTRP00000010284	ENSMUSP00000033820
ENOG410VCU6	Transcriptional adaptor 1	ENSPTRP00000002718	ENSMUSP00000027846
ENOG410VCU5	t-box transcription factor	ENSPTRP00000037938	ENSMUSP00000128247
ENOG410VCU2	CDP-diacylglycerol-inositol 3-phosphatidyltransferase	ENSPTRP00000013627	ENSMUSP00000032920
ENOG410VCU1	homeobox B1	ENSPTRP00000015899	ENSMUSP00000019117
ENOG410VHPZ	Prostaglandin E synthase	ENSPTRP00000036715	ENSMUSP00000099916
ENOG410VHPT	sulfiredoxin 1	ENSPTRP00000061189	ENSMUSP00000096830
ENOG410VHPR	trafficking protein particle complex 2-like	ENSPTRP00000014436	ENSMUSP00000015157
ENOG410VHPP	Chromosome 8 open reading frame 33	ENSPTRP00000035447	ENSMUSP00000071698
ENOG410VHPM	killer cell lectin-like receptor subfamily G member 1	ENSPTRP00000007941	ENSMUSP00000032207
ENOG410VHPK	mitotic spindle organizing protein	ENSPTRP00000046713	ENSMUSP00000023351
ENOG410VHPG	Interleukin 18 binding protein	ENSPTRP00000006917	ENSMUSP00000091685
ENOG410VHPF	transmembrane protein 190	ENSPTRP00000019787	ENSMUSP00000013235
ENOG410VHPE	GSK3B interacting protein	ENSPTRP00000011425	ENSMUSP00000057939
ENOG410VHP8	retinol binding protein 1, cellular	ENSPTRP00000026627	ENSMUSP00000059749
ENOG410VHP5	UFM1-specific peptidase 1 (non-functional)	ENSPTRP00000060908	ENSMUSP00000056156
ENOG410VHP2	Interleukin 15 receptor alpha	ENSPTRP00000003828	ENSMUSP00000077878
ENOG410VHP1	Keratinocyte associated protein 2	ENSPTRP00000002375	ENSMUSP00000130372
ENOG410V526	potassium channel tetramerisation domain containing 18	ENSPTRP00000021847	ENSMUSP00000110052
ENOG410V527	solute carrier family 39 (zinc transporter), member	ENSPTRP00000021810, ENSPTRP00000016959	ENSMUSP00000027131, ENSMUSP00000064667
ENOG410V528	O-sialoglycoprotein endopeptidase-like 1	ENSPTRP00000021771	ENSMUSP00000027265
ENOG410WFDW	oxidation resistance 1	ENSPTRP00000035061	ENSMUSP00000105926
ENOG410V52E	chromosome 19 open reading frame 6	ENSPTRP00000041529	ENSMUSP00000056792
ENOG410WFPE	zinc finger CCCH-type containing 7B	ENSPTRP00000049650	ENSMUSP00000105181
ENOG410WJ7Z	testis expressed 30	ENSPTRP00000010221	ENSMUSP00000027215
ENOG410WJ7Y	K06254 agrin	ENSPTRP00000040859	ENSMUSP00000137931
ENOG410WJ7C	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	ENSPTRP00000034785	ENSMUSP00000027056
ENOG410WJ7G	T-cell lymphoma invasion and metastasis	ENSPTRP00000058456, ENSPTRP00000023836	ENSMUSP00000002588
ENOG410WJ7F	Rho guanine nucleotide exchange factor (GEF) 4	ENSPTRP00000021327	ENSMUSP00000022566
ENOG410V7S1	brain-specific angiogenesis inhibitor	ENSPTRP00000000811, ENSPTRP00000031309, ENSPTRP00000035283	ENSMUSP00000035612, ENSMUSP00000101638, ENSMUSP00000046097
ENOG410V7S3	Glutathione reductase	ENSPTRP00000034471	ENSMUSP00000033992
ENOG410V7S5	transducer of ERBB2	ENSPTRP00000015989	ENSMUSP00000061390, ENSMUSP00000036039
ENOG410V7S4	Poly (ADP-ribose) polymerase family, member 3	ENSPTRP00000025859	ENSMUSP00000064513
ENOG410V7S8	hematopoietic prostaglandin D synthase	ENSPTRP00000027981	ENSMUSP00000031982
ENOG410V7SQ	Cold shock domain containing E1, RNA-binding	ENSPTRP00000058482	ENSMUSP00000029446
ENOG410V7SS	Glycine dehydrogenase decarboxylating	ENSPTRP00000049477	ENSMUSP00000025778
ENOG410V7SR	Diablo, IAP-binding mitochondrial protein	ENSPTRP00000009467	ENSMUSP00000107214
ENOG410V7SU	FERM and PDZ domain containing	ENSPTRP00000037120, ENSPTRP00000038119, ENSPTRP00000035832	ENSMUSP00000042515, ENSMUSP00000107773
ENOG410V7ST	hyaluronan and proteoglycan link protein 1	ENSPTRP00000029198	ENSMUSP00000022108
ENOG410V7SW	paraneoplastic Ma antigen family-like 1	ENSPTRP00000019196	ENSMUSP00000040929
ENOG410V7SY	coiledcoil domain containing	ENSPTRP00000020495, ENSPTRP00000011302	ENSMUSP00000068629, ENSMUSP00000048978
ENOG410V7SX	solute carrier family 39 (zinc transporter), member	ENSPTRP00000044109, ENSPTRP00000043881	ENSMUSP00000029810, ENSMUSP00000022688
ENOG410V7SZ	Metallophosphoesterase 1	ENSPTRP00000016797	ENSMUSP00000072808
ENOG410V7SA	Chromosome 9 open reading frame 156	ENSPTRP00000036175	ENSMUSP00000083752
ENOG410V7SC	DEAH (Asp-Glu-Ala-His) box polypeptide 32	ENSPTRP00000020759, ENSPTRP00000005367	ENSMUSP00000033290, ENSMUSP00000076708
ENOG410V7SB	Integrin alpha FG-GAP repeat containing 3	ENSPTRP00000055014	ENSMUSP00000110639
ENOG410V7SE	Capping protein (Actin filament) muscle Z-line, alpha 3	ENSPTRP00000008098	ENSMUSP00000038562
ENOG410V7SG	shisa homolog 3 (Xenopus laevis)	ENSPTRP00000027557	ENSMUSP00000084494
ENOG410V7SF	Removes the N-terminal methionine from nascent proteins (By similarity)	ENSPTRP00000009029	ENSMUSP00000048285
ENOG410V7SJ	Zwilch, kinetochore associated, homolog (Drosophila)	ENSPTRP00000012309	ENSMUSP00000112790
ENOG410V7SM	Tubulin tyrosine ligase-like family, member 5	ENSPTRP00000011141	ENSMUSP00000048809
ENOG410V7SN	lysine-rich coiled-coil 1	ENSPTRP00000020867	ENSMUSP00000079748
ENOG410VCHV	Zinc finger protein 592	ENSPTRP00000012652	ENSMUSP00000102976
ENOG410VCHW	exportin 1, CRM1 homolog (yeast)	ENSPTRP00000040879	ENSMUSP00000020538
ENOG410VCHR	homeobox	ENSPTRP00000032498, ENSPTRP00000015904	ENSMUSP00000039012, ENSMUSP00000035423
ENOG410VCHS	transmembrane 7 superfamily member 2	ENSPTRP00000003438, ENSPTRP00000006658	ENSMUSP00000005003, ENSMUSP00000025713
ENOG410VCHX	Geranylgeranyl diphosphate synthase 1	ENSPTRP00000003599	ENSMUSP00000126603
ENOG410VCHY	Prostate androgen-regulated mucin-like protein 1	ENSPTRP00000053531	ENSMUSP00000042844
ENOG410VCHZ	TSPY-like 5	ENSPTRP00000053103	ENSMUSP00000045542
ENOG410VCHF	G protein-coupled receptor 25	ENSPTRP00000003046	ENSMUSP00000083583
ENOG410VCHG	cell division cycle 6 homolog (S. cerevisiae)	ENSPTRP00000015543	ENSMUSP00000091469
ENOG410VCHA	Derlin 1	ENSPTRP00000035139	ENSMUSP00000022993
ENOG410VCHB	ADP-ribosylation factor-like 6 interacting protein 1	ENSPTRP00000013352	ENSMUSP00000032888
ENOG410VCHC	Chromosome 7 open reading frame 60	ENSPTRP00000040865	ENSMUSP00000040578
ENOG410VCHM	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	ENSPTRP00000053952	ENSMUSP00000097096
ENOG410VCHN	cyclic nucleotide binding domain containing 1	ENSPTRP00000034897	ENSMUSP00000121576
ENOG410VCHH	Melanoregulin	ENSPTRP00000022046	ENSMUSP00000041878
ENOG410VCHI	cAMP responsive element binding protein 5	ENSPTRP00000040438	ENSMUSP00000038532
ENOG410VCHJ	Potassium voltage-gated channel subfamily G member 2	ENSPTRP00000017218	ENSMUSP00000077112
ENOG410VCH4	Upstream binding transcription factor, RNA polymerase I	ENSPTRP00000045288	ENSMUSP00000078539
ENOG410VCH5	Treacher Collins-Franceschetti syndrome 1	ENSPTRP00000058522	ENSMUSP00000135639
ENOG410VCH6	Proteasome (Prosome, macropain) 26S subunit, ATPase, 4	ENSPTRP00000018835	ENSMUSP00000032824
ENOG410VCH7	Zinc finger and BTB domain containing 45	ENSPTRP00000045640	ENSMUSP00000056086
ENOG410VCH2	Transmembrane protease serine	ENSPTRP00000039126, ENSPTRP00000027691, ENSPTRP00000027700	ENSMUSP00000062915, ENSMUSP00000112252, ENSMUSP00000098634, ENSMUSP00000124534
ENOG410VCH3	dimethylarginine dimethylaminohydrolase 1	ENSPTRP00000001579	ENSMUSP00000029845
ENOG410VCH8	Coatomer protein complex subunit alpha	ENSPTRP00000002599	ENSMUSP00000118179
ENOG410VCH9	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)	ENSPTRP00000008765	ENSMUSP00000042134
ENOG410VK2F	chromosome 17 open reading frame 72	ENSPTRP00000060242	ENSMUSP00000102429
ENOG410VM1D	Galanin-like peptide	ENSPTRP00000041010	ENSMUSP00000037408
ENOG410V7N6	HEAT repeat containing 6	ENSPTRP00000016092	ENSMUSP00000001002
ENOG410V81H	proSAP-interacting protein	ENSPTRP00000022596	ENSMUSP00000037109
ENOG410V81J	IQ motif containing B1	ENSPTRP00000026346	ENSMUSP00000023535
ENOG410V81K	zinc finger protein 784	ENSPTRP00000045151	ENSMUSP00000051979
ENOG410V81M	Kruppel-like factor 5 (intestinal)	ENSPTRP00000010076, ENSPTRP00000061314	ENSMUSP00000005279
ENOG410V81N	Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)	ENSPTRP00000050081	ENSMUSP00000020408
ENOG410V81D	GRAM domain containing 4	ENSPTRP00000025021	ENSMUSP00000086321
ENOG410V81E	Ribosomal protein L4	ENSPTRP00000017826	ENSMUSP00000003386
ENOG410V81F	Olfactory receptor	ENSPTRP00000006288	ENSMUSP00000100848, ENSMUSP00000097477, ENSMUSP00000097488
ENOG410V81G	Fas (TNFRSF6) binding factor 1	ENSPTRP00000016419	ENSMUSP00000099320
ENOG410V81X	Olfactory receptor	ENSPTRP00000006345, ENSPTRP00000006373	ENSMUSP00000056291, ENSMUSP00000057902, ENSMUSP00000062542, ENSMUSP00000079057, ENSMUSP00000078800, ENSMUSP00000072563
ENOG410V81Y	beta-1,4-N-acetyl-galactosaminyl transferase	ENSPTRP00000008752, ENSPTRP00000053134	ENSMUSP00000006914, ENSMUSP00000037239
ENOG410V81Z	During development, promotes the survival and differentiation of selected neuronal populations of the peripheral and central nervous systems. Participates in axonal growth, pathfinding and in the modulation of dendritic growth and morphology. Major regulator of synaptic transmission and plasticity at adult synapses in many regions of the CNS	ENSPTRP00000054632	ENSMUSP00000057989
ENOG410V81P	high mobility group box	ENSPTRP00000055762, ENSPTRP00000034719	ENSMUSP00000037966, ENSMUSP00000105250
ENOG410V81Q	Netrin 1	ENSPTRP00000014909, ENSPTRP00000013075	ENSMUSP00000024931, ENSMUSP00000021284
ENOG410V81R	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member	ENSPTRP00000051117, ENSPTRP00000003951	ENSMUSP00000060462, ENSMUSP00000074397
ENOG410V81S	UDP-glucuronate decarboxylase 1	ENSPTRP00000021099	ENSMUSP00000119939
ENOG410V81T	SWI5-dependent recombination repair 1	ENSPTRP00000005152	ENSMUSP00000096954
ENOG410V81U	FtsJ homolog 3 (E. coli)	ENSPTRP00000016175	ENSMUSP00000021048
ENOG410V81V	Exocyst complex component 5	ENSPTRP00000046511	ENSMUSP00000125434
ENOG410V81W	RAB18, member RAS oncogene family	ENSPTRP00000039982	ENSMUSP00000095285
ENOG410V818	Ras and Rab interactor 1	ENSPTRP00000047896	ENSMUSP00000025818
ENOG410V819	General transcription factor IIH, polypeptide 4, 52kDa	ENSPTRP00000030616	ENSMUSP00000001565
ENOG410V609	WD repeat and SOCS box containing	ENSPTRP00000049881	ENSMUSP00000017821, ENSMUSP00000031309
ENOG410V810	phospholipase B domain containing	ENSPTRP00000008062, ENSPTRP00000009316	ENSMUSP00000031597, ENSMUSP00000032336
ENOG410V811	(SH3) and cysteine rich domain	ENSPTRP00000015482, ENSPTRP00000025420	ENSMUSP00000017544, ENSMUSP00000035083
ENOG410V813	wings apart-like homolog (Drosophila)	ENSPTRP00000050569	ENSMUSP00000040232
ENOG410V814	inositol polyphosphate-5-phosphatase, 72 kDa	ENSPTRP00000054166	ENSMUSP00000119485
ENOG410V815	NK2 homeobox 5	ENSPTRP00000029961	ENSMUSP00000015723
ENOG410V816	serine threonine kinase 31	ENSPTRP00000032451	ENSMUSP00000024171
ENOG410VCSF	Malonyl-CoA decarboxylase	ENSPTRP00000014340	ENSMUSP00000095970
ENOG410VCSC	Zinc finger protein 655	ENSPTRP00000033293	ENSMUSP00000128969
ENOG410VCSK	DAZ interacting protein 3, zinc finger	ENSPTRP00000046440	ENSMUSP00000113344
ENOG410VCSP	cathepsin W	ENSPTRP00000006721	ENSMUSP00000025844
ENOG410VCS1	family with sequence similarity 96, member B	ENSPTRP00000014017	ENSMUSP00000132725
ENOG410VJJC	oxytocin neurophysin I prepropeptide	ENSPTRP00000022589	ENSMUSP00000028764
ENOG410VJJJ	protein C8orf59 homolog	ENSPTRP00000034873	ENSMUSP00000128814, ENSMUSP00000104002
ENOG410VJJY	keratin associated protein	ENSPTRP00000046186, ENSPTRP00000023822	ENSMUSP00000062370, ENSMUSP00000009191, ENSMUSP00000023648, ENSMUSP00000055537, ENSMUSP00000061716, ENSMUSP00000062074
ENOG410V5BA	CWF19-like 1, cell cycle control (S. pombe)	ENSPTRP00000004994	ENSMUSP00000026218
ENOG410V5BB	myomesin	ENSPTRP00000041477, ENSPTRP00000034166	ENSMUSP00000072945, ENSMUSP00000101480, ENSMUSP00000033842
ENOG410V5BN	Rap guanine nucleotide exchange factor (GEF)	ENSPTRP00000008316, ENSPTRP00000049031	ENSMUSP00000088336, ENSMUSP00000116426
ENOG410V5BT	nuclear receptor subfamily 2, group E, member 1	ENSPTRP00000031550	ENSMUSP00000019938
ENOG410V5BV	Dual specificity protein phosphatase	ENSPTRP00000047213, ENSPTRP00000025876, ENSPTRP00000008976	ENSMUSP00000020118, ENSMUSP00000019701, ENSMUSP00000126984
ENOG410V5BX	ankyrin-repeat and fibronectin type III domain containing 1	ENSPTRP00000016016	ENSMUSP00000121290
ENOG410V5B4	Lysophosphatidylcholine acyltransferase	ENSPTRP00000013861, ENSPTRP00000028663	ENSMUSP00000022099, ENSMUSP00000127318, ENSMUSP00000049252
ENOG410V5B5	SIX homeobox	ENSPTRP00000010878, ENSPTRP00000020407	ENSMUSP00000024947, ENSMUSP00000059026
ENOG410WFWR	ADAMTS-like	ENSPTRP00000012633, ENSPTRP00000049427	ENSMUSP00000102796
ENOG410WFWP	ADAM metallopeptidase with thrombospondin type 1, motif	ENSPTRP00000030092, ENSPTRP00000027755	ENSMUSP00000040171
ENOG410V9UX	CDC42 effector protein (Rho GTPase binding) 1	ENSPTRP00000024694	ENSMUSP00000060930
ENOG410V9UZ	Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration (By similarity)	ENSPTRP00000010257	ENSMUSP00000033901
ENOG410V9UQ	DNA-directed RNA polymerase	ENSPTRP00000020836	ENSMUSP00000060858
ENOG410V9UP	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSPTRP00000000924	ENSMUSP00000030642
ENOG410V9US	RNA binding motif protein 18	ENSPTRP00000036445	ENSMUSP00000028251
ENOG410V9UR	ring finger protein 166	ENSPTRP00000014427	ENSMUSP00000014614
ENOG410V9UT	Polyribonucleotide nucleotidyltransferase 1	ENSPTRP00000020501	ENSMUSP00000020756
ENOG410V9UW	regulatory associated protein of MTOR, complex 1	ENSPTRP00000016590	ENSMUSP00000026671
ENOG410V9UI	Mannosidase alpha class	ENSPTRP00000012758, ENSPTRP00000017983, ENSPTRP00000048125	ENSMUSP00000083928, ENSMUSP00000034121, ENSMUSP00000031002, ENSMUSP00000095949
ENOG410V9UH	ret finger protein-like 4B	ENSPTRP00000031627	ENSMUSP00000137446
ENOG410V9UK	Thioredoxin domain containing 16	ENSPTRP00000010758	ENSMUSP00000022377
ENOG410V9UJ	Rho GTPase activating protein 36	ENSPTRP00000038354	ENSMUSP00000110554
ENOG410V9UM	C. elegans	ENSPTRP00000034938, ENSPTRP00000040938, ENSPTRP00000033473, ENSPTRP00000008790	ENSMUSP00000119986, ENSMUSP00000132092, ENSMUSP00000054747, ENSMUSP00000081954
ENOG410V9UN	MYST Esa1-associated factor 6	ENSPTRP00000000965	ENSMUSP00000053543
ENOG410V9UA	G protein-coupled receptor 84	ENSPTRP00000008575	ENSMUSP00000078753
ENOG410V9UC	creatine kinase, mitochondrial	ENSPTRP00000011963, ENSPTRP00000046472	ENSMUSP00000000317, ENSMUSP00000022122
ENOG410V9UB	Olfactory receptor	ENSPTRP00000050313	ENSMUSP00000071488, ENSMUSP00000078739, ENSMUSP00000063431, ENSMUSP00000075768, ENSMUSP00000054710, ENSMUSP00000080106, ENSMUSP00000080953, ENSMUSP00000071941, ENSMUSP00000076540, ENSMUSP00000076282, ENSMUSP00000054949, ENSMUSP00000052235, ENSMUSP00000079316, ENSMUSP00000096707, ENSMUSP00000071534, ENSMUSP00000059714
ENOG410V9UD	MAK16 homolog (S. cerevisiae)	ENSPTRP00000034497	ENSMUSP00000033983
ENOG410V9UG	XK, Kell blood group complex subunit-related family, member 8	ENSPTRP00000054182	ENSMUSP00000041205
ENOG410V9UF	polymerase (DNA directed), delta 2, accessory subunit	ENSPTRP00000048023	ENSMUSP00000099986
ENOG410V9U8	histidine ammonia-lyase	ENSPTRP00000049982	ENSMUSP00000123336
ENOG410V9U1	additional sex combs like 2 (Drosophila)	ENSPTRP00000020153	ENSMUSP00000106846
ENOG410V9U3	Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2 ), Na( ), K( ), fatty acids, hormones, bilirubin and drugs. Its main function is the regulation of the colloidal osmotic pressure of blood. Major zinc transporter in plasma, typically binds about 80 of all plasma zinc	ENSPTRP00000027765, ENSPTRP00000056218, ENSPTRP00000027766	ENSMUSP00000031314, ENSMUSP00000041006, ENSMUSP00000108804
ENOG410V9U2	coiled-coil domain containing 40	ENSPTRP00000016562	ENSMUSP00000039463
ENOG410V9U4	V-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (Avian)	ENSPTRP00000001007	ENSMUSP00000030407
ENOG410V9U6	determination of left/right symmetry	ENSPTRP00000017166	ENSMUSP00000023828
ENOG410V4FK	Spermatogenesis associated, serine-rich	ENSPTRP00000021844, ENSPTRP00000008381	ENSMUSP00000133054, ENSMUSP00000070549
ENOG410VEV9	Exoribonuclease 1	ENSPTRP00000034206	ENSMUSP00000033927
ENOG410VEV4	tRNA methyltransferase 6 homolog (S. cerevisiae)	ENSPTRP00000022686	ENSMUSP00000044687
ENOG410VEV5	Erythropoietin is the principal hormone involved in the regulation of erythrocyte differentiation and the maintenance of a physiological level of circulating erythrocyte mass	ENSPTRP00000033390	ENSMUSP00000031723
ENOG410VEV6	spermatogenesis and oogenesis specific basic helix-loop-helix 2	ENSPTRP00000009844	ENSMUSP00000029369
ENOG410VEV7	fibroblast growth factor binding protein 1	ENSPTRP00000027437	ENSMUSP00000056900
ENOG410VEV0	sulfite oxidase	ENSPTRP00000044418	ENSMUSP00000056195
ENOG410VEV1	Zinc finger protein	ENSPTRP00000061366	ENSMUSP00000065620
ENOG410VEV2	autophagy related 13	ENSPTRP00000006164	ENSMUSP00000076081
ENOG410VEV3	G protein-coupled receptor 101	ENSPTRP00000038456	ENSMUSP00000058183
ENOG410VEVY	N-acetyltransferase 14 (GCN5-related	ENSPTRP00000019800	ENSMUSP00000045354
ENOG410VEVV	RING finger protein 14	ENSPTRP00000047147	ENSMUSP00000072212
ENOG410VEVW	Doublesex and mab-3 related transcription factor 1	ENSPTRP00000035458	ENSMUSP00000025755
ENOG410VEVR	matrix metallopeptidase 20	ENSPTRP00000007255	ENSMUSP00000034487
ENOG410VEVH	chromosome 1 open reading frame 146	ENSPTRP00000052070	ENSMUSP00000058373
ENOG410VEVI	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)	ENSPTRP00000022240	ENSMUSP00000027422
ENOG410VEVC	synaptotagmin VIII	ENSPTRP00000048314	ENSMUSP00000113545
ENOG410VHVK	Microtubule-associated protein 1 light chain 3	ENSPTRP00000023008, ENSPTRP00000023010, ENSPTRP00000014400	ENSMUSP00000029128, ENSMUSP00000136551, ENSMUSP00000034270
ENOG410VKBX	Transmembrane protein 167A	ENSPTRP00000060862	ENSMUSP00000125314
ENOG410VKBC	bolA homolog 1 (E. coli)	ENSPTRP00000002104	ENSMUSP00000016087
ENOG410V76B	chromosome 2 open reading frame 47	ENSPTRP00000021841	ENSMUSP00000027114
ENOG410VG3A	doublecortin domain containing 2C	ENSPTRP00000055328	ENSMUSP00000020963
ENOG410WFIM	period homolog 1 (Drosophila)	ENSPTRP00000014870	ENSMUSP00000021271
ENOG410V5XA	Ceroid-lipofuscinosis, neuronal 6, late infantile, variant	ENSPTRP00000012343	ENSMUSP00000034776
ENOG410V5XD	amine oxidase	ENSPTRP00000053082, ENSPTRP00000015707, ENSPTRP00000044191	ENSMUSP00000031835, ENSMUSP00000040255, ENSMUSP00000099394
ENOG410V5XE	Sushi-repeat containing protein, X-linked 2	ENSPTRP00000037999	ENSMUSP00000108928
ENOG410V5XI	s-phase kinase-associated protein	ENSPTRP00000060053	ENSMUSP00000038744
ENOG410V5XN	casein kinase	ENSPTRP00000030673	ENSMUSP00000025246
ENOG410V5XM	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ENSPTRP00000001512	ENSMUSP00000036227
ENOG410V5XS	interferon regulatory factor 8	ENSPTRP00000014387	ENSMUSP00000040245
ENOG410V5XV	ankyrin repeat, family A (RFXANK-like), 2	ENSPTRP00000029085	ENSMUSP00000022164
ENOG410V5XW	ubiquitin specific peptidase 40	ENSPTRP00000022327	ENSMUSP00000038533
ENOG410V5XT	Phosphate cytidylyltransferase 1, choline	ENSPTRP00000037300	ENSMUSP00000044280, ENSMUSP00000078721
ENOG410V5XZ	phospholipase C	ENSPTRP00000022713, ENSPTRP00000026773, ENSPTRP00000055062, ENSPTRP00000022705, ENSPTRP00000025314, ENSPTRP00000000093, ENSPTRP00000022088, ENSPTRP00000011810, ENSPTRP00000006581, ENSPTRP00000051483, ENSPTRP00000021834	ENSMUSP00000081122, ENSMUSP00000010804, ENSMUSP00000101256, ENSMUSP00000099583, ENSMUSP00000038409, ENSMUSP00000105743, ENSMUSP00000130604, ENSMUSP00000027362, ENSMUSP00000046584, ENSMUSP00000025912, ENSMUSP00000099366, ENSMUSP00000037854
ENOG410V5XX	Ecotropic viral integration site 2B	ENSPTRP00000060801	ENSMUSP00000128569
ENOG410V5XY	TRAF3 interacting protein 3	ENSPTRP00000003272	ENSMUSP00000040977
ENOG410V5X3	Catalytic subunit of the molybdopterin synthase complex, a complex that catalyzes the conversion of precursor Z into molybdopterin. Acts by mediating the incorporation of 2 sulfur atoms from thiocarboxylated MOCS2A into precursor Z to generate a dithiolene group	ENSPTRP00000028888	ENSMUSP00000015680
ENOG410V5X0	mitogen-activated protein kinase	ENSPTRP00000025056, ENSPTRP00000053615, ENSPTRP00000024313, ENSPTRP00000030916, ENSPTRP00000030915	ENSMUSP00000086207, ENSMUSP00000051619, ENSMUSP00000023462, ENSMUSP00000086204, ENSMUSP00000004986, ENSMUSP00000004990
ENOG410V5X1	Myosin IXb	ENSPTRP00000058528, ENSPTRP00000012382	ENSMUSP00000122852, ENSMUSP00000129220
ENOG410V5X4	family with sequence similarity 166, member A	ENSPTRP00000041206	ENSMUSP00000028346
ENOG410V5X5	Proteasome (Prosome, macropain) inhibitor subunit 1 (PI31)	ENSPTRP00000022517	ENSMUSP00000041184
ENOG410V5X8	Transmembrane protein 200A	ENSPTRP00000031743	ENSMUSP00000064080
ENOG410V5X9	BEN domain containing 3	ENSPTRP00000031538	ENSMUSP00000047251
ENOG410VAU1	Valyl-tRNA synthetase	ENSPTRP00000030618, ENSPTRP00000056402	ENSMUSP00000084572, ENSMUSP00000047917
ENOG410VAU0	Castor zinc finger 1	ENSPTRP00000000263	ENSMUSP00000112978
ENOG410VAU3	cactin, spliceosome C complex subunit	ENSPTRP00000017458	ENSMUSP00000059533
ENOG410VAU2	ring finger protein 216	ENSPTRP00000032265	ENSMUSP00000052563
ENOG410VAU5	kelch-like 22 (Drosophila)	ENSPTRP00000049839	ENSMUSP00000112412
ENOG410VAU4	Thioesterase superfamily member 4	ENSPTRP00000002219	ENSMUSP00000062841
ENOG410VAU7	Neurolysin (Metallopeptidase M3 family)	ENSPTRP00000028990	ENSMUSP00000104938, ENSMUSP00000005057
ENOG410VAU6	Thioredoxin-like 4B	ENSPTRP00000014239	ENSMUSP00000034159
ENOG410VAU9	Sarcalumenin	ENSPTRP00000058273	ENSMUSP00000023161
ENOG410VAU8	POU class 2 homeobox	ENSPTRP00000007518, ENSPTRP00000051579, ENSPTRP00000018974	ENSMUSP00000124738, ENSMUSP00000104056, ENSMUSP00000135115
ENOG410VAUA	MMS19 nucleotide excision repair homolog (S. cerevisiae)	ENSPTRP00000004925	ENSMUSP00000130900
ENOG410VAUC	Eph receptor A6	ENSPTRP00000026129	ENSMUSP00000066734
ENOG410VAUB	LEM domain containing	ENSPTRP00000030842, ENSPTRP00000008804	ENSMUSP00000113103, ENSMUSP00000058221
ENOG410VAUE	R3H domain containing 4	ENSPTRP00000047029	ENSMUSP00000044570
ENOG410VAUD	family with sequence similarity 110, member D	ENSPTRP00000039919	ENSMUSP00000060143
ENOG410VAUG	ADP-ribosylation-like factor 6 interacting protein 5	ENSPTRP00000026062	ENSMUSP00000041503
ENOG410VAUI	spermatid maturation 1	ENSPTRP00000014810	ENSMUSP00000037500
ENOG410VAUK	MACRO domain containing 1	ENSPTRP00000006563	ENSMUSP00000039507
ENOG410VAUM	Thioesterase superfamily member 5	ENSPTRP00000002217	ENSMUSP00000029794
ENOG410VAUN	heterogeneous nuclear ribonucleoprotein A B	ENSPTRP00000054222	ENSMUSP00000104731
