#ortholog	function	species_a	species_b
ENOG410V6NK	DnaJ (Hsp40) homolog, subfamily C, member 12	ENSP00000225171	GB18301-PA
ENOG410V6NJ	POU class 6 homeobox	ENSP00000330190, ENSP00000384004	GB15643-PA
ENOG410V6NI	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	ENSP00000402515	GB18026-PA
ENOG410V6NH	lin-9 homolog (C. elegans)	ENSP00000329102	GB16458-PA
ENOG410V6NN	RNA binding motif, single stranded interacting protein	ENSP00000262031, ENSP00000294904, ENSP00000373277	GB17349-PA
ENOG410V6NR	Hydroxymethylbilane synthase	ENSP00000458163, ENSP00000278715	GB15699-PA
ENOG410V6NP	ribosomal protein S7	ENSP00000245539	GB15602-PA
ENOG410V6NW	protein tyrosine phosphatase, receptor type, N	ENSP00000374069, ENSP00000295718	GB10559-PA
ENOG410V6NV	PhosphoLipase D family member	ENSP00000348901, ENSP00000440896, ENSP00000376372	GB17393-PA
ENOG410V6NT	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins	ENSP00000280700	GB14220-PA
ENOG410V6NZ	2-oxoglutarate and iron-dependent oxygenase domain containing 3	ENSP00000330075	GB11546-PA
ENOG410V6NX	neuromedin U receptor	ENSP00000305877, ENSP00000255262	GB18327-PA, GB11169-PA, GB18762-PA, GB12896-PA
ENOG410VBQD	SUMO1 sentrin specific peptidase	ENSP00000402527, ENSP00000377655	GB11925-PA, GB11473-PA
ENOG410VBQB	DEAH (Asp-Glu-Ala-His) box polypeptide 37	ENSP00000311135	GB12160-PA
ENOG410VBQK	chromosome 6 open reading frame 136	ENSP00000449786, ENSP00000293604, ENSP00000448284, ENSP00000449267, ENSP00000447695, ENSP00000447446, ENSP00000447147	GB16124-PA
ENOG410VBQT	Protein arginine methyltransferase	ENSP00000372067, ENSP00000406162	GB10121-PA
ENOG410VBQQ	ankyrin repeat and death domain containing	ENSP00000369579, ENSP00000471417	GB10556-PA
ENOG410VBQY	BRCA1 associated protein	ENSP00000403524	GB14072-PA
ENOG410VBQ7	Serine threonine kinase 36	ENSP00000295709	GB10754-PA
ENOG410VBQ1	RCE1 homolog, prenyl protein protease (S. cerevisiae)	ENSP00000309163	GB20088-PA
ENOG410VD0R	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	ENSP00000374574	GB17427-PA
ENOG410VD0Q	Charged multivesicular body protein	ENSP00000297265, ENSP00000217402	GB15628-PA
ENOG410V4UQ	Sulfotransferase	ENSP00000321988, ENSP00000339221, ENSP00000338742, ENSP00000333310, ENSP00000226444, ENSP00000308770, ENSP00000319622, ENSP00000272452, ENSP00000343645	GB30045-PA, GB18436-PA, GB19181-PA
ENOG410V4T1	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member	ENSP00000392617, ENSP00000378414, ENSP00000262188	GB19354-PA
ENOG410V4TR	ribosomal RNA processing 7 homolog A (S. cerevisiae)	ENSP00000321449	GB12435-PA
ENOG410V4TG	LIM domains containing 1	ENSP00000273317, ENSP00000262713, ENSP00000270288	GB11453-PA
ENOG410WH7T	down syndrome cell adhesion molecule	ENSP00000383303	GB17097-PA
ENOG410WH7Q	immunoglobulin superfamily member	ENSP00000317980, ENSP00000357073	GB11807-PA
ENOG410WH7P	sidekick cell adhesion molecule 2	ENSP00000376421	GB14317-PA
ENOG410WH7S	down syndrome cell adhesion molecule	ENSP00000315465	GB15987-PA
ENOG410WH7Y	N(alpha)-acetyltransferase 60, NatF catalytic subunit	ENSP00000385903	GB19408-PA
ENOG410WH7X	CSRP2 binding protein	ENSP00000278816	GB10364-PA
ENOG410VB7Z	COMM domain containing 3	ENSP00000366032	GB13187-PA
ENOG410VB78	coiled-coil domain containing 130	ENSP00000221554	GB10193-PA
ENOG410VB79	transmembrane and ubiquitin-like domain containing 1	ENSP00000297533	GB12469-PA
ENOG410VF82	RING finger protein 25	ENSP00000295704	GB19184-PA
ENOG410VF8Q	Chromosome 22 open reading frame 23	ENSP00000249079	GB19947-PA
ENOG410VF8U	chromosome 4 open reading frame 22	ENSP00000425786	GB15430-PA
ENOG410VF8T	Biliverdin reductase B (Flavin reductase (NADPH))	ENSP00000263368	GB14539-PA
ENOG410WIS3	CDC42 binding protein kinase beta (DMPK-like)	ENSP00000355237	GB13531-PA
ENOG410VBFF	Chaperonin containing Tcp1, subunit 3 (Gamma)	ENSP00000295688	GB10800-PA
ENOG410VBFD	Ubiquitin specific peptidase	ENSP00000303434, ENSP00000431876	GB19771-PA
ENOG410VBFA	alpha-amylase	ENSP00000359096, ENSP00000359100, ENSP00000397582, ENSP00000330484, ENSP00000354610	GB18312-PA
ENOG410VBFM	cofactor of BRCA1	ENSP00000339495	GB13532-PA
ENOG410VBFH	WD repeat domain	ENSP00000351446, ENSP00000330381	GB12744-PA
ENOG410VBFV	Coatomer protein complex, subunit epsilon	ENSP00000262812	GB10258-PA
ENOG410VBFU	mitochondrial ribosomal protein, L28	ENSP00000199706	GB14554-PA
ENOG410VBFS	replication termination factor 2 domain containing 1	ENSP00000023939	GB19069-PA
ENOG410VBFQ	zinc finger protein 207	ENSP00000378165	GB16439-PA
ENOG410VBFZ	ecdysoneless homolog (Drosophila)	ENSP00000401566	GB18989-PB
ENOG410VBF6	glutamine synthetase	ENSP00000307900	GB10139-PA
ENOG410VBF4	N(alpha)-acetyltransferase 20, NatB catalytic subunit	ENSP00000335636	GB13955-PA
ENOG410VBF1	Na K transporting ATPase interacting	ENSP00000357402, ENSP00000362841	GB14991-PA
ENOG410VBF8	anaphase promoting complex subunit 7	ENSP00000394394	GB13555-PA
ENOG410VGMS	MKRN2 antisense RNA 1	ENSP00000455385	GB10137-PA
ENOG410V4DC	Dipeptidase	ENSP00000377430, ENSP00000268793, ENSP00000261615	GB18409-PA, GB17941-PA, GB19934-PA
ENOG410V506	thyrotropin-releasing hormone receptor	ENSP00000309818	GB13260-PA
ENOG410V50J	DEAD (Asp-Glu-Ala-Asp) box	ENSP00000306117, ENSP00000288071, ENSP00000263576	GB11621-PA
ENOG410V50H	Zinc finger, DHHC-type containing	ENSP00000341681, ENSP00000296127	GB13322-PA
ENOG410V50N	abl-interactor 2	ENSP00000261017, ENSP00000225941	GB16071-PA
ENOG410V50R	protein tyrosine phosphatase receptor type	ENSP00000281171, ENSP00000400010, ENSP00000266688, ENSP00000334928	GB18351-PB
ENOG410V50V	coenzyme Q2 homolog, prenyltransferase (yeast)	ENSP00000310873	GB16212-PA
ENOG410V50W	isocitrate dehydrogenase 3 (NAD ) alpha	ENSP00000299518	GB19422-PA
ENOG410V6ZG	Ubiquitin domain containing	ENSP00000377381, ENSP00000359698	GB15244-PA
ENOG410VHKC	ATP synthase H transporting mitochondrial F1 complex delta subunit	ENSP00000215375	GB17255-PA
ENOG410VHKA	RAB interacting factor	ENSP00000356231	GB16248-PA
ENOG410VHKD	suppressor of Ty 4 homolog 1 (S. cerevisiae)	ENSP00000225504	GB16091-PA
ENOG410VHKE	Histone H2A	ENSP00000341094, ENSP00000259791, ENSP00000330307	GB18954-PA
ENOG410VHKQ	ribosomal protein L28	ENSP00000401450	GB13975-PA
ENOG410VHK2	vitamin K epoxide reductase complex subunit	ENSP00000431371, ENSP00000353998, ENSP00000378426	GB17854-PA
ENOG410VHK6	Ribosomal protein	ENSP00000346046, ENSP00000346045	GB10913-PA
ENOG410VHK7	mitochondrial ribosomal protein, L14	ENSP00000361084	GB10521-PA
ENOG410VHK4	cytoChrome c oxidase subunit	ENSP00000317780	GB15816-PA
ENOG410VN7S	polymerase (DNA-directed), epsilon 4, accessory subunit	ENSP00000420176	GB14025-PA
ENOG410V4D8	Ring finger protein	ENSP00000321330, ENSP00000259939	GB12134-PA
ENOG410V8FH	Family with sequence similarity 160, member	ENSP00000413196, ENSP00000265978	GB13974-PA
ENOG410V8FK	family with sequence similarity 214, member	ENSP00000261844, ENSP00000319897	GB19397-PA
ENOG410V8FJ	Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked	ENSP00000344818, ENSP00000304697	GB18235-PA, GB19365-PA, GB16469-PA
ENOG410V8FD	Serine arginine repetitive matrix 2	ENSP00000301740	GB19076-PA
ENOG410V8FF	Splicing factor proline	ENSP00000349748, ENSP00000276079, ENSP00000343966	GB18173-PA
ENOG410V8FA	Oxysterol-binding protein	ENSP00000296220, ENSP00000379804, ENSP00000412733	GB14806-PA
ENOG410V8FC	serine threonine kinase 10	ENSP00000176763, ENSP00000358770	GB13124-PA, GB30032-PA
ENOG410V8FZ	FAD-dependent oxidoreductase domain containing 1	ENSP00000263578	GB13228-PA
ENOG410V8FU	ArfGAP with GTPase domain, ankyrin repeat and PH domain	ENSP00000407436, ENSP00000307634, ENSP00000415452, ENSP00000449241, ENSP00000380413, ENSP00000392513, ENSP00000363207, ENSP00000461986, ENSP00000363168, ENSP00000363208, ENSP00000309985, ENSP00000403270, ENSP00000343438	GB17177-PA
ENOG410V8FW	fibroblast growth factor receptor substrate	ENSP00000259748, ENSP00000299293	GB15763-PA
ENOG410V8FV	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	ENSP00000363779	GB13934-PA
ENOG410V8FQ	serine threonine kinase 16	ENSP00000379964	GB15152-PA
ENOG410V8FP	activating signal cointegrator 1 complex subunit	ENSP00000317123, ENSP00000358159	GB15157-PA, GB17221-PA
ENOG410V8FR	G patch domain containing 1	ENSP00000170564	GB13987-PA
ENOG410V8F9	Family with sequence similarity 46, member	ENSP00000358458, ENSP00000308575, ENSP00000318298, ENSP00000289166	GB15285-PA
ENOG410V8F4	myosin light chain	ENSP00000279022, ENSP00000217652, ENSP00000237500	GB18838-PA, GB17693-PA
ENOG410V8F7	dihydrolipoyl dehydrogenase	ENSP00000205402	GB16546-PA, GB17626-PA
ENOG410V8F6	GTPase activating Rap RanGAP domain-like 3	ENSP00000362485	GB10533-PA
ENOG410V8F3	Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	ENSP00000260649	GB20070-PA, GB19017-PA, GB12607-PA, GB11220-PA
ENOG410V8F2	DEAD (Asp-Glu-Ala-Asp) box polypeptide	ENSP00000336725, ENSP00000382840, ENSP00000424838	GB14804-PA, GB19873-PA
ENOG410VD55	PPIases accelerate the folding of proteins (By similarity)	ENSP00000300026, ENSP00000303057	GB12089-PA
ENOG410VD5B	lipoyltransferase 1	ENSP00000342071	GB17158-PA
ENOG410VD5C	Fanconi anemia, complementation group M	ENSP00000267430	GB12279-PA, GB30306-PA
ENOG410VD5G	RanBP-type and C3HC4-type zinc finger containing 1	ENSP00000348632	GB17157-PA
ENOG410VD5P	focadhesin	ENSP00000344307	GB16529-PA
ENOG410VD5U	Yip1 domain family, member 6	ENSP00000417573	GB11526-PA
ENOG410VD5Y	Leo1, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)	ENSP00000299601	GB16641-PA
ENOG410VD5Z	membrane-associated ring finger (C3HC4) 5	ENSP00000351813	GB13337-PA
ENOG410V54D	Stromal cell derived factor 4	ENSP00000353094	GB17104-PA
ENOG410V54E	Hydroxyacylglutathione hydrolase	ENSP00000380514	GB18892-PA
ENOG410WIH6	discs, large homolog 5 (Drosophila)	ENSP00000361467	GB12298-PA
ENOG410WIHH	Ubiquitin-like 7 (Bone marrow stromal cell-derived)	ENSP00000354883	GB11120-PA
ENOG410VG8N	SFT2 domain containing	ENSP00000271375, ENSP00000354590	GB11616-PA
ENOG410VCQC	Mesencephalic astrocyte-derived neurotrophic factor	ENSP00000454660, ENSP00000432799	GB10060-PA
ENOG410VCQG	mitochondrial ribosomal protein, L40	ENSP00000333401	GB10857-PA
ENOG410VCQE	Cell surface proteoglycan (By similarity)	ENSP00000307046	GB15441-PA
ENOG410VCQI	akt interacting protein	ENSP00000378152	GB18579-PA
ENOG410VCQH	bol, boule-like (Drosophila)	ENSP00000314792	GB13749-PA, GB15596-PA
ENOG410VCQN	Homer homolog	ENSP00000334382, ENSP00000305632	GB14479-PA
ENOG410VCQS	Polymerase (RNA) III (DNA directed) polypeptide H	ENSP00000347345	GB17735-PA
ENOG410VCQR	component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)	ENSP00000256379	GB16318-PA
ENOG410VCQW	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3)	ENSP00000386531	GB10643-PA
ENOG410VCQT	N-alpha-acetyltransferase 30, NatC catalytic subunit	ENSP00000452521	GB17389-PA
ENOG410VCQ2	Cleavage and polyadenylation specific factor 1	ENSP00000339353, ENSP00000457146	GB16990-PA
ENOG410VCQ1	methyltransferase like 25	ENSP00000248306	GB12683-PA
ENOG410VCQ8	trimethylguanosine synthase 1	ENSP00000260129	GB12867-PA
ENOG410VHTD	Chromosome 9 open reading frame 85	ENSP00000334289	GB16017-PA
ENOG410VHT1	nuclear transport factor	ENSP00000219169	GB19311-PA
ENOG410VDCB	ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific)	ENSP00000260585	GB11233-PA
ENOG410VDCC	glycoprotein M6-b	ENSP00000316861	GB16856-PA
ENOG410V7Y7	trafficking protein particle complex 11	ENSP00000335371	GB13040-PA
ENOG410V7Y4	transaminase (Alanine aminotransferase)	ENSP00000345282, ENSP00000378408	GB17641-PA
ENOG410V7Y1	within bgcn homolog (Drosophila)	ENSP00000386156	GB18277-PA
ENOG410V7YG	Papillary renal cell carcinoma translocation-associated	ENSP00000271526	GB16133-PA
ENOG410V7YE	Protein inhibitor of activated STAT	ENSP00000464306, ENSP00000465676, ENSP00000376765, ENSP00000249636, ENSP00000262971	GB18362-PA
ENOG410V7YC	growth hormone inducible transmembrane protein	ENSP00000361207	GB11560-PA
ENOG410V7YN	TBC1 domain family member	ENSP00000221543, ENSP00000448182	GB18429-PA
ENOG410V7YW	Spastic paraplegia 21 (Autosomal recessive, Mast syndrome)	ENSP00000204566	GB18983-PA
ENOG410V7YS	chromosome 7 open reading frame 10	ENSP00000312054	GB14150-PA
ENOG410V4Z9	BCL2 adenovirus E1B 19kDa interacting protein 1	ENSP00000231668	GB19504-PA
ENOG410V4Z8	annexin A11	ENSP00000262219, ENSP00000346550, ENSP00000341674, ENSP00000362010, ENSP00000462716, ENSP00000265447, ENSP00000377833, ENSP00000363395, ENSP00000462880, ENSP00000352101, ENSP00000296511	GB16448-PA, GB16312-PA
ENOG410V4Z6	RING finger protein	ENSP00000342667, ENSP00000362555	GB14112-PA
ENOG410V4Z1	Phosphofructokinase	ENSP00000345771, ENSP00000269848, ENSP00000370517	GB17113-PA
ENOG410V4Z0	Microfibrillar-associated protein 1	ENSP00000267812	GB13767-PA
ENOG410VCFT	Fibroblast growth factor (Acidic) intracellular binding protein	ENSP00000344572	GB17539-PA
ENOG410V4ZZ	family with sequence similarity 73, member	ENSP00000351138, ENSP00000359827	GB12457-PA
ENOG410V4ZU	family with sequence similarity 135, member	ENSP00000410768, ENSP00000378710	GB15318-PA
ENOG410V4ZP	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	ENSP00000346142	GB10596-PA
ENOG410V4ZS	Amyotrophic lateral sclerosis 2 (Juvenile)	ENSP00000264276, ENSP00000313670	GB16680-PA
ENOG410V4ZM	Myotubularin related protein	ENSP00000180173, ENSP00000363985, ENSP00000371221	GB11368-PA
ENOG410V4ZK	branched-chain-amino-acid aminotransferase	ENSP00000443459, ENSP00000322991	GB14457-PA, GB10167-PA
ENOG410V4ZJ	CUB and sushi multiple domains	ENSP00000441462, ENSP00000297405, ENSP00000241312, ENSP00000384917	GB17310-PA, GB11792-PA
ENOG410V4ZA	forkhead box	ENSP00000309823, ENSP00000386200, ENSP00000318902	GB10313-PA
ENOG410V4ZC	exonuclease 3'-5' domain containing 1	ENSP00000321029	GB10691-PA
ENOG410VCFA	SOGA family member	ENSP00000455908, ENSP00000352927, ENSP00000357251	GB14067-PA
ENOG410VB9X	metallophosphoesterase domain containing	ENSP00000350833, ENSP00000388137	GB17727-PA
ENOG410VB9Y	F-box protein	ENSP00000251547, ENSP00000346240, ENSP00000365944	GB13415-PA
ENOG410VB9W	Mediator complex subunit 21	ENSP00000282892	GB17156-PA
ENOG410VB9U	SLU7 splicing factor homolog (S. cerevisiae)	ENSP00000297151	GB12242-PA
ENOG410VB9R	jnk1 mapk8-associated membrane protein	ENSP00000261247	GB18846-PA
ENOG410VB9S	Muskelin 1, intracellular mediator containing kelch motifs	ENSP00000323527	GB11415-PA
ENOG410VB9N	dihydrodiol dehydrogenase (dimeric)	ENSP00000221403	GB13821-PA
ENOG410VB9I	RAB GTPase activating protein	ENSP00000362751, ENSP00000251507	GB10098-PA
ENOG410VB9F	Thioredoxin-like 1	ENSP00000217515	GB15457-PA
ENOG410VB9E	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	ENSP00000262844, ENSP00000272647	GB11891-PA, GB16533-PA
ENOG410VB94	motor neuron and pancreas homeobox	ENSP00000252971	GB11098-PA
ENOG410VB93	SWI SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD H box	ENSP00000351947	GB17523-PA
ENOG410VB90	Zinc finger protein 704	ENSP00000331462	GB19322-PA
ENOG410VINA	Blocked early in transport 1 homolog (S. cerevisiae)	ENSP00000222547	GB10169-PA
ENOG410VIN8	WD repeat domain 83 opposite strand	ENSP00000468969	GB15436-PA
ENOG410V59M	Interconversion of serine and glycine (By similarity)	ENSP00000333667, ENSP00000318868	GB14485-PA
ENOG410V59V	sec31 homolog	ENSP00000347329, ENSP00000359370	GB12808-PA
ENOG410V7W9	alkylglycerone phosphate synthase	ENSP00000264167	GB16460-PA
ENOG410V7W8	Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one- codon backward translocation of tRNAs on improperly translocated ribosomes. Binds to mitochondrial ribosomes in a GTP-dependent manner (By similarity)	ENSP00000281543	GB10987-PA
ENOG410V7W4	Ral GTPase activating protein, beta subunit (Non-catalytic)	ENSP00000262879	GB12156-PA
ENOG410V7W6	SNW domain containing 1	ENSP00000261531	GB12341-PA
ENOG410V7W1	PQ loop repeat containing 1	ENSP00000380880	GB11690-PA
ENOG410V7WN	NOP2 nucleolar protein homolog (yeast)	ENSP00000382392	GB19807-PA
ENOG410V7WI	member RAS oncogene family	ENSP00000262646, ENSP00000380869	GB19296-PA
ENOG410V7WH	CCR4-NOT transcription complex subunit 10	ENSP00000330060	GB15743-PA
ENOG410V7WK	K04255 r-opsin	ENSP00000361141	GB19657-PA, GB19336-PA
ENOG410V7WD	carbonyl reductase	ENSP00000290349, ENSP00000290354	GB16229-PA
ENOG410V7WF	Adaptor-related protein complex 1, beta 1 subunit	ENSP00000314414, ENSP00000350199	GB16141-PA
ENOG410V7WC	basic leucine zipper nuclear factor 1	ENSP00000327541	GB16671-PA
ENOG410V7WB	Protein kinase, interferon-inducible double stranded RNA dependent activator	ENSP00000266987, ENSP00000318176	GB18006-PA
ENOG410V7WY	Solute carrier family 35 member C2	ENSP00000243896	GB19954-PA
ENOG410V7WV	Family with sequence similarity 96, member A	ENSP00000300030	GB19427-PA
ENOG410V7WP	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	ENSP00000315835	GB16033-PA
ENOG410V7WS	Phosphatidylinositol-5-phosphate 4-kinase, type II	ENSP00000269554, ENSP00000365757	GB12553-PA
ENOG410VCDF	Peroxisomal membrane protein 2, 22kDa	ENSP00000321271	GB18801-PA
ENOG410VCDK	Pentatricopeptide repeat-containing protein	ENSP00000400168, ENSP00000450995	GB13994-PA
ENOG410VCDM	synovial sarcoma translocation, Chromosome 18	ENSP00000414516	GB10168-PA
ENOG410VCDS	Dual specificity phosphatase	ENSP00000341658, ENSP00000345281	GB11428-PA
ENOG410VCDW	PCI domain containing 2	ENSP00000337405	GB19368-PA
ENOG410VCD2	Protein phosphatase 1, regulatory (Inhibitor) subunit 2	ENSP00000328178	GB13783-PA
ENOG410VCD7	Adenylate kinase 7	ENSP00000267584	GB15612-PA
ENOG410VCD9	kinesin-associated protein 3	ENSP00000354560	GB10607-PA
ENOG410V85D	trafficking protein particle complex	ENSP00000291574	GB16250-PA
ENOG410V85F	ring finger protein 139	ENSP00000304051	GB17484-PA
ENOG410V85C	signal peptidase complex subunit 2 homolog (S. cerevisiae)	ENSP00000263672	GB19456-PA
ENOG410V85N	Histone-lysine n-methyltransferase	ENSP00000398286, ENSP00000414377, ENSP00000417980, ENSP00000408583, ENSP00000373354, ENSP00000397323, ENSP00000399135, ENSP00000382886, ENSP00000364687	GB18236-PA
ENOG410V85H	t-box transcription factor	ENSP00000279386	GB18009-PA
ENOG410V85T	R3H domain and coiled-coil containing 1-like	ENSP00000298999	GB16539-PA
ENOG410V85V	electron-transfer-flavoprotein beta polypeptide	ENSP00000346173	GB16132-PA
ENOG410V85S	GTPase activating protein (SH3 domain) binding protein	ENSP00000352738, ENSP00000348578	GB16066-PA
ENOG410V85X	Transmembrane emp24 protein transport domain containing	ENSP00000404042, ENSP00000330945	GB14499-PA
ENOG410V854	Collagen, type XV, alpha 1	ENSP00000364140, ENSP00000347665	GB18123-PA
ENOG410V856	Transmembrane protein 9	ENSP00000356298	GB18333-PA
ENOG410V853	casein kinase 1	ENSP00000324464, ENSP00000369126, ENSP00000421689, ENSP00000352929	GB15520-PA, GB10720-PA
ENOG410VDH2	ribosomal protein, L30	ENSP00000338057, ENSP00000420959	GB13000-PA
ENOG410VDH1	CDK5 regulatory subunit associated protein 1-like 1	ENSP00000274695	GB12476-PA
ENOG410VDH0	SDE2 telomere maintenance homolog (S. pombe)	ENSP00000272091	GB20001-PA
ENOG410VDHX	Cd63 molecule	ENSP00000257857	GB13074-PA, GB11399-PA
ENOG410VDHT	abhydrolase domain containing 11	ENSP00000461104, ENSP00000222800	GB13970-PA
ENOG410V7UN	Programmed cell death 2	ENSP00000439467	GB16114-PA
ENOG410V7UE	Phosphatase and tensin homolog	ENSP00000355208, ENSP00000361021, ENSP00000372437	GB14441-PA
ENOG410V638	SMAD specific E3 ubiquitin protein ligase	ENSP00000461327, ENSP00000262435, ENSP00000354621	GB17703-PA
ENOG410V639	Solute carrier family 24 (Sodium potassium calcium exchanger), member	ENSP00000261892, ENSP00000341550, ENSP00000333519, ENSP00000431840, ENSP00000344801	GB14667-PA, GB14614-PA, GB13625-PA, GB14308-PA
ENOG410V634	Trafficking protein particle complex 1	ENSP00000302783	GB11863-PA
ENOG410V635	OTU domain containing 5	ENSP00000471884, ENSP00000156084	GB10235-PA
ENOG410V636	SKI family transcriptional corepressor	ENSP00000369374, ENSP00000414750	GB15530-PA
ENOG410V63X	folliculin	ENSP00000285071	GB13685-PA
ENOG410V63Y	Selenium binding protein 1	ENSP00000357861	GB11771-PA
ENOG410V63Q	Tubulin tyrosine ligase-like family, member	ENSP00000392549, ENSP00000392252, ENSP00000380427	GB20131-PA
ENOG410V63T	Phosphatidylinositol glycan anchor biosynthesis, class Q	ENSP00000026218	GB17117-PA
ENOG410V63U	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	ENSP00000286317	GB18812-PA
ENOG410V63V	aldo-keto reductase family 1, member	ENSP00000463709, ENSP00000263126, ENSP00000462940, ENSP00000463185, ENSP00000298375, ENSP00000352584, ENSP00000242375, ENSP00000370129, ENSP00000370254, ENSP00000464178, ENSP00000369927, ENSP00000312606, ENSP00000285930	GB15375-PA, GB16684-PA, GB15290-PA, GB19030-PA, GB18109-PA
ENOG410V63H	kiaa2013	ENSP00000365756	GB11958-PA
ENOG410V63J	round spermatid basic protein	ENSP00000261441, ENSP00000334040	GB19221-PA, GB15644-PA
ENOG410V63M	chromosome 9 open reading frame 114	ENSP00000354812	GB17754-PA
ENOG410V63B	Sterile alpha and TIR motif containing 1	ENSP00000406738, ENSP00000466426	GB14250-PA
ENOG410V63C	Calcium binding protein	ENSP00000258418, ENSP00000261669	GB10608-PA
ENOG410V63D	Peptidase (Mitochondrial processing) alpha	ENSP00000360782	GB11914-PA
ENOG410V9QV	ARP6 actin-related protein 6 homolog (yeast)	ENSP00000188312	GB11388-PA
ENOG410V9QQ	baculoviral IAP repeat containing 6	ENSP00000393596	GB15652-PA
ENOG410V9QX	SUMO1 sentrin specific peptidase 1	ENSP00000296257, ENSP00000394791	GB16943-PA
ENOG410V9QA	cereblon	ENSP00000231948	GB19527-PA
ENOG410V9QB	hydroxysteroid (17-beta) dehydrogenase 12	ENSP00000278353	GB11409-PA, GB10228-PA
ENOG410V9QM	Zinc finger protein 341	ENSP00000344308	GB15420-PA
ENOG410V9QN	ras homolog family member	ENSP00000272233, ENSP00000285735, ENSP00000400175	GB13135-PA
ENOG410V9QI	Homogentisate 1,2-dioxygenase	ENSP00000283871	GB11477-PA, GB15325-PA
ENOG410V9QJ	Tetratricopeptide repeat domain 25	ENSP00000458114	GB17173-PA
ENOG410V9Q5	peroxisomal biogenesis factor 19	ENSP00000357051	GB18587-PA
ENOG410V9Q4	asparaginase homolog (S. cerevisiae)	ENSP00000450040	GB14596-PA
ENOG410V9Q7	huntingtin	ENSP00000347184	GB18618-PA
ENOG410V9Q3	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)	ENSP00000240423	GB16624-PA, GB11159-PA
ENOG410V9Q9	Myelin expression factor 2	ENSP00000316950	GB13910-PA
ENOG410V9Q8	Secretion regulating guanine nucleotide exchange factor	ENSP00000265965	GB17309-PA
ENOG410WHJG	NEL-like 2 (chicken)	ENSP00000416341, ENSP00000349654	GB19176-PA
ENOG410WHJD	Notch ligand involved in the mediation of Notch signaling (By similarity)	ENSP00000355718	GB12464-PA
ENOG410WHJJ	Fibulin 2	ENSP00000331544, ENSP00000384169	GB11007-PA
ENOG410WHJN	neurogenic locus notch homolog protein	ENSP00000256646, ENSP00000263388, ENSP00000277541, ENSP00000464488	GB10567-PA, GB30198-PA
ENOG410VEJ7	Aldehyde dehydrogenase 1 family, member	ENSP00000377083, ENSP00000258494	GB12327-PA
ENOG410VEJJ	PIH1 domain containing 3	ENSP00000337757	GB10588-PA
ENOG410VEJA	transmembrane protein 199	ENSP00000292114, ENSP00000465912	GB17757-PA
ENOG410VEJE	low density lipoprotein receptor-related protein associated protein 1	ENSP00000421922	GB17421-PA
