ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410VFT8	cadherin-related family member 5	ENSMUSP00000127292	ENSRNOP00000044906
ENOG410VFT6	lymphocyte antigen 6 complex, locus G5B	ENSMUSP00000052133	ENSRNOP00000032293
ENOG410VFT3	Interferon, gamma-inducible protein 30	ENSMUSP00000034299	ENSRNOP00000026225
ENOG410VFTX	BPI fold containing family B, member 4	ENSMUSP00000105379	ENSRNOP00000047586
ENOG410VFTZ	TRAF-interacting protein with forkhead-associated domain	ENSMUSP00000054036	ENSRNOP00000061870
ENOG410VFTH	Olfactory receptor	ENSMUSP00000049924	ENSRNOP00000049012, ENSRNOP00000047678, ENSRNOP00000066902
ENOG410VFTK	Growth associated protein 43	ENSMUSP00000099881	ENSRNOP00000002091
ENOG410VFTD	Chromosome 6 open reading frame 201	ENSMUSP00000125206	ENSRNOP00000039407
ENOG410VFTF	transmembrane and coiled-coil	ENSMUSP00000042247	ENSRNOP00000000010
ENOG410VG1A	regulator of G-protein signaling 4	ENSMUSP00000027991	ENSRNOP00000003774
ENOG410VARW	Regulator of chromosome condensation 1	ENSMUSP00000030726	ENSRNOP00000066003
ENOG410WJTG	syndecan binding protein (syntenin) 2	ENSMUSP00000028950	ENSRNOP00000012690
ENOG410WJTD	selectin P (granule membrane protein 140kDa, antigen CD62)	ENSMUSP00000123924	ENSRNOP00000003759
ENOG410V4SM	Recognizes and binds the palindromic sequence 5'- TTGGCNNNNNGCCAA-3' present in viral and cellular promoters and in the origin of replication of adenovirus type 2. These proteins are individually capable of activating transcription and replication (By similarity)	ENSMUSP00000020461, ENSMUSP00000052863, ENSMUSP00000074899, ENSMUSP00000105386	ENSRNOP00000034591, ENSRNOP00000006168, ENSRNOP00000004017, ENSRNOP00000060839
ENOG410V4SV	frizzled family receptor	ENSMUSP00000067783, ENSMUSP00000091463, ENSMUSP00000022906, ENSMUSP00000049852, ENSMUSP00000053551, ENSMUSP00000115325, ENSMUSP00000039660, ENSMUSP00000058629, ENSMUSP00000041825, ENSMUSP00000114114	ENSRNOP00000006195, ENSRNOP00000067360, ENSRNOP00000067651, ENSRNOP00000023205, ENSRNOP00000021569, ENSRNOP00000036154, ENSRNOP00000055627, ENSRNOP00000001973, ENSRNOP00000021979
ENOG410V4SS	tumor necrosis factor receptor superfamily, member 19	ENSMUSP00000106865	ENSRNOP00000063251
ENOG410V4SQ	FLT3-interacting zinc finger 1	ENSMUSP00000076603	ENSRNOP00000022236
ENOG410V4SY	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	ENSMUSP00000033283	ENSRNOP00000064166
ENOG410VAA9	chromosome 9 open reading frame 91	ENSMUSP00000076891	ENSRNOP00000011799
ENOG410VAA8	Naked cuticle homolog 1 (Drosophila)	ENSMUSP00000034086	ENSRNOP00000019301
ENOG410VAAM	zinc finger and BTB domain containing 8 opposite strand	ENSMUSP00000120925	ENSRNOP00000064823
ENOG410VAAC	Family with sequence similarity 167, member	ENSMUSP00000113962	ENSRNOP00000015055
ENOG410VAAX	phosphatidylinositol glycan anchor biosynthesis, class B	ENSMUSP00000096165	ENSRNOP00000009872
ENOG410VAAZ	Serine threonine kinase 40	ENSMUSP00000111990	ENSRNOP00000032827
ENOG410VAAV	Chromosome 18 open reading frame 25	ENSMUSP00000074225	ENSRNOP00000035406
ENOG410VAAQ	Tetratricopeptide repeat domain 8	ENSMUSP00000078148	ENSRNOP00000060304
ENOG410VAAS	Potassium channel regulator	ENSMUSP00000055327	ENSRNOP00000037710
ENOG410V4S1	matrix metallopeptidase	ENSMUSP00000029141, ENSMUSP00000026411, ENSMUSP00000031390, ENSMUSP00000029881, ENSMUSP00000034243, ENSMUSP00000087119, ENSMUSP00000024696	ENSRNOP00000037549, ENSRNOP00000040229, ENSRNOP00000017629, ENSRNOP00000049168, ENSRNOP00000067398, ENSRNOP00000008909
ENOG410VB23	Epstein-Barr virus induced 3	ENSMUSP00000003274	ENSRNOP00000067573
ENOG410VB25	tweety homolog 1 (Drosophila)	ENSMUSP00000078384	ENSRNOP00000062088
ENOG410VB24	Major facilitator superfamily domain containing 10	ENSMUSP00000001109	ENSRNOP00000017386
ENOG410VB29	Emopamil binding protein-like	ENSMUSP00000022494	ENSRNOP00000020036
ENOG410VB2C	ssu-2 homolog (C. elegans)	ENSMUSP00000052328	ENSRNOP00000007591
ENOG410VB2B	family with sequence similarity 53, member B	ENSMUSP00000070763	ENSRNOP00000022993
ENOG410VB2A	Fc receptor-like A	ENSMUSP00000036380	ENSRNOP00000004183
ENOG410VB2F	human immunodeficiency virus type I enhancer binding protein 2	ENSMUSP00000015645	ENSRNOP00000015131
ENOG410VB2E	Ribonuclease H2, subunit B	ENSMUSP00000022499	ENSRNOP00000012231
ENOG410VB2D	Coiled-coil domain containing 146	ENSMUSP00000110900	ENSRNOP00000017374
ENOG410VB2J	Paralemmin 2	ENSMUSP00000099968	ENSRNOP00000030796
ENOG410VB2I	Synemin, intermediate filament protein	ENSMUSP00000073855	ENSRNOP00000046923
ENOG410VB2H	E2F transcription factor	ENSMUSP00000050047, ENSMUSP00000100012	ENSRNOP00000067839
ENOG410WGM3	chromobox homolog 8	ENSMUSP00000026663	ENSRNOP00000064273
ENOG410VJCA	PDZK1 interacting protein 1	ENSMUSP00000128118	ENSRNOP00000011434
ENOG410VJCT	Potassium voltage-gated channel, Isk-related family, member 3	ENSMUSP00000039353	ENSRNOP00000044706
ENOG410VJCR	Neuregulin 4	ENSMUSP00000115247	ENSRNOP00000020332
ENOG410VJCY	solute carrier family 51, beta subunit	ENSMUSP00000064494	ENSRNOP00000051177
ENOG410VJC1	cytochrome c oxidase subunit VIa polypeptide 2	ENSMUSP00000033049	ENSRNOP00000026908
ENOG410V5RQ	RAR-related orphan receptor	ENSMUSP00000034766, ENSMUSP00000047597	ENSRNOP00000018137
ENOG410V55Y	kelch-like 11 (Drosophila)	ENSMUSP00000054963	ENSRNOP00000022695
ENOG410VCZY	GLI pathogenesis-related 1	ENSMUSP00000074359	ENSRNOP00000005399
ENOG410VFA2	Protein phosphatase 1 regulatory subunit 3A	ENSMUSP00000049054	ENSRNOP00000060363
ENOG410VFA3	Cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)	ENSMUSP00000048607	ENSRNOP00000014008
ENOG410VFAS	Proline rich 5 like	ENSMUSP00000042167	ENSRNOP00000006291
ENOG410VFAP	chromosome 9 open reading frame 50	ENSMUSP00000058055	ENSRNOP00000024953
ENOG410VFAQ	RAB7, member RAS oncogene family-like 1	ENSMUSP00000027693	ENSRNOP00000067600
ENOG410VFAW	G protein-coupled receptor 77	ENSMUSP00000096389	ENSRNOP00000067721
ENOG410VFAC	Zinc finger protein	ENSMUSP00000050968, ENSMUSP00000005597, ENSMUSP00000040282	ENSRNOP00000067320, ENSRNOP00000029983
ENOG410VFAA	coiled-coil domain containing 178	ENSMUSP00000025160	ENSRNOP00000042594
ENOG410VFAG	CKLF-like MARVEL transmembrane domain containing	ENSMUSP00000034344, ENSMUSP00000043127	ENSRNOP00000058363
ENOG410VJCK	IGv	ENSMUSP00000136790	ENSRNOP00000045987, ENSRNOP00000051268, ENSRNOP00000067650, ENSRNOP00000045274, ENSRNOP00000063255, ENSRNOP00000062878
ENOG410VJCW	selenoprotein K	ENSMUSP00000107887	ENSRNOP00000020284
ENOG410VJC3	T cell receptor alpha variable	ENSMUSP00000134652	ENSRNOP00000066279, ENSRNOP00000066300, ENSRNOP00000065118, ENSRNOP00000066676, ENSRNOP00000067056, ENSRNOP00000066173, ENSRNOP00000067347, ENSRNOP00000066285, ENSRNOP00000066576, ENSRNOP00000064682, ENSRNOP00000065775, ENSRNOP00000064533, ENSRNOP00000042287, ENSRNOP00000057123, ENSRNOP00000066201, ENSRNOP00000060408, ENSRNOP00000064694, ENSRNOP00000057054, ENSRNOP00000065903, ENSRNOP00000066190, ENSRNOP00000065727
ENOG410VFVQ	Neurogenin 3	ENSMUSP00000054054	ENSRNOP00000000661
ENOG410V6UY	general transcription factor IIIA	ENSMUSP00000119607	ENSRNOP00000065623
ENOG410WDYV	Glutathione S-transferase	ENSMUSP00000034903	ENSRNOP00000012346, ENSRNOP00000000233
ENOG410VFJD	family with sequence similarity 43, member	ENSMUSP00000100649, ENSMUSP00000056555	ENSRNOP00000061195, ENSRNOP00000064958, ENSRNOP00000002355
ENOG410VFJM	TAP binding protein-like	ENSMUSP00000047105	ENSRNOP00000038874
ENOG410VFJK	Interleukin 1 receptor antagonist	ENSMUSP00000110126	ENSRNOP00000007949
ENOG410VFJH	K04256 c-opsin	ENSMUSP00000027809	ENSRNOP00000005072
ENOG410VFJ6	Heart and neural crest derivatives expressed	ENSMUSP00000044983, ENSMUSP00000046999	ENSRNOP00000003486
ENOG410WJCK	WD repeat domain 78	ENSMUSP00000102481	ENSRNOP00000048851
ENOG410WJCH	WD repeat domain 34	ENSMUSP00000109340	ENSRNOP00000021132
ENOG410V55C	Dynein, axonemal, light intermediate chain 1	ENSMUSP00000047783	ENSRNOP00000032193
ENOG410V55R	N-acetylglucosamine-1-phosphate transferase, gamma subunit	ENSMUSP00000042073	ENSRNOP00000031949
ENOG410VA46	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	ENSMUSP00000020580	ENSRNOP00000032448
ENOG410VA47	kiaa0247	ENSMUSP00000064961	ENSRNOP00000065440
ENOG410VA44	HEAT repeat containing 4	ENSMUSP00000129832	ENSRNOP00000054933
ENOG410VA45	NADH dehydrogenase (Ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)	ENSMUSP00000013737	ENSRNOP00000055224
ENOG410VA49	YdjC homolog (Bacterial)	ENSMUSP00000069864	ENSRNOP00000002542
ENOG410VA4B	Retinoic acid receptor responder (Tazarotene induced) 2	ENSMUSP00000009425	ENSRNOP00000038525
ENOG410VA4C	Adaptor-related protein complex 1, gamma	ENSMUSP00000043996, ENSMUSP00000090844	ENSRNOP00000036180
ENOG410VA4A	Proenkephalin	ENSMUSP00000066822	ENSRNOP00000011892
ENOG410VA4G	kelch-like 8 (Drosophila)	ENSMUSP00000031254	ENSRNOP00000003026
ENOG410VA4K	SEC14 and spectrin domains 1	ENSMUSP00000099720	ENSRNOP00000016837
ENOG410VA4H	E2F transcription factor 6	ENSMUSP00000020908	ENSRNOP00000057241
ENOG410VA4I	zinc finger protein 131	ENSMUSP00000136019	ENSRNOP00000021608
ENOG410VA4R	Cathepsin G	ENSMUSP00000015583	ENSRNOP00000056429
ENOG410VA4S	U2 snRNP-associated SURP domain containing	ENSMUSP00000078602	ENSRNOP00000048365
ENOG410VA4P	N-acyl phosphatidylethanolamine phospholipase D	ENSMUSP00000054458	ENSRNOP00000015322
ENOG410VA4Q	arrestin domain containing 1	ENSMUSP00000028349	ENSRNOP00000010169
ENOG410VA4V	adherens junctions associated protein 1	ENSMUSP00000101271	ENSRNOP00000064502
ENOG410VA4W	kiaa0232	ENSMUSP00000031091	ENSRNOP00000032427
ENOG410VA4T	family with sequence similarity 83, member D	ENSMUSP00000029183	ENSRNOP00000021308
ENOG410VA4U	LAS1-like (S. cerevisiae)	ENSMUSP00000078901	ENSRNOP00000016042
ENOG410VA4Y	Translocase of inner mitochondrial membrane 44 homolog (Yeast)	ENSMUSP00000003029	ENSRNOP00000001409
ENOG410VAFT	Aspartate beta-hydroxylase domain containing 2	ENSMUSP00000031291	ENSRNOP00000000823
ENOG410VAFV	Solute carrier family 39 (Zinc transporter), member 9	ENSMUSP00000082343	ENSRNOP00000006798
ENOG410VAFJ	Ubiquitin associated and SH3 domain containing	ENSMUSP00000045890, ENSMUSP00000043865	ENSRNOP00000010873
ENOG410VAF8	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)	ENSMUSP00000031101	ENSRNOP00000003779
ENOG410VAF9	actin related protein 2 3 complex, subunit 2	ENSMUSP00000006467	ENSRNOP00000019265
ENOG410VAF6	G patch domain containing 2	ENSMUSP00000065009	ENSRNOP00000044043
ENOG410VH0X	chromosome 2 open reading frame 57	ENSMUSP00000136430	ENSRNOP00000025030
ENOG410VH0W	protein phosphatase 1, regulatory subunit 27	ENSMUSP00000026121	ENSRNOP00000051842
ENOG410VH0V	Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail	ENSMUSP00000071994, ENSMUSP00000108729	ENSRNOP00000031521
ENOG410VH0R	Unknown	ENSMUSP00000055600	ENSRNOP00000037689
ENOG410VH07	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	ENSMUSP00000136068, ENSMUSP00000136781	ENSRNOP00000066307
ENOG410VH00	cardiotrophin 1	ENSMUSP00000049161	ENSRNOP00000025646
ENOG410V6SQ	Bardet-Biedl syndrome 2	ENSMUSP00000034206	ENSRNOP00000026076
ENOG410V958	DNA (Cytosine-5)-methyltransferase 3-like	ENSMUSP00000000746	ENSRNOP00000001610
ENOG410V952	Oligonucleotide oligosaccharide-binding fold containing 1	ENSMUSP00000040944	ENSRNOP00000027614
ENOG410V955	Hepatic leukemia factor	ENSMUSP00000004051	ENSRNOP00000052527
ENOG410V954	heterogeneous nuclear ribonucleoprotein	ENSMUSP00000020263, ENSMUSP00000070503, ENSMUSP00000045048, ENSMUSP00000050838	ENSRNOP00000019529, ENSRNOP00000055962, ENSRNOP00000015518, ENSRNOP00000064570, ENSRNOP00000029804
ENOG410V957	leucine-zipper-like transcription regulator 1	ENSMUSP00000023444	ENSRNOP00000002554
ENOG410V95Z	leucine rich repeat containing 26	ENSMUSP00000028337	ENSRNOP00000015242
ENOG410V95F	Dual oxidase	ENSMUSP00000050314, ENSMUSP00000097060	ENSRNOP00000045928, ENSRNOP00000023939
ENOG410WHVJ	Rho guanine nucleotide exchange factor (GEF) 17	ENSMUSP00000102647	ENSRNOP00000026047
ENOG410V6BN	G patch domain containing 8	ENSMUSP00000120649, ENSMUSP00000041941	ENSRNOP00000047081, ENSRNOP00000049549
ENOG410V6BM	zinc finger CCCH-type containing	ENSMUSP00000127603, ENSMUSP00000040217, ENSMUSP00000037172, ENSMUSP00000080820	ENSRNOP00000016638, ENSRNOP00000045289, ENSRNOP00000012314, ENSRNOP00000059263
ENOG410V6BK	Carbonic AnHydrase	ENSMUSP00000035585, ENSMUSP00000003360	ENSRNOP00000065699, ENSRNOP00000028540
ENOG410V6BJ	nei endonuclease VIII-like 2 (E. coli)	ENSMUSP00000045200	ENSRNOP00000014198
ENOG410V6BI	leucine rich repeat and Ig domain containing	ENSMUSP00000054960, ENSMUSP00000069772, ENSMUSP00000059050	ENSRNOP00000051446, ENSRNOP00000023084
ENOG410V6BH	positive regulation of ryanodine-sensitive calcium-release channel activity	ENSMUSP00000093436	ENSRNOP00000041570
ENOG410V6BG	Prostaglandin E synthase 2	ENSMUSP00000028162	ENSRNOP00000019184
ENOG410V6BF	cysteine conjugate-beta lyase	ENSMUSP00000041675, ENSMUSP00000038612	ENSRNOP00000021865, ENSRNOP00000059667
ENOG410V6BE	vacuolar protein sorting 54 homolog (S. cerevisiae)	ENSMUSP00000006221	ENSRNOP00000010264
ENOG410V6BD	RAS (RAD and GEM)-like GTP binding 2	ENSMUSP00000127199	ENSRNOP00000016020
ENOG410V6BC	deoxynucleotidyltransferase, terminal, interacting protein 2	ENSMUSP00000045043	ENSRNOP00000037874
ENOG410V6BB	glutathione peroxidase	ENSMUSP00000030332	ENSRNOP00000013913
ENOG410V6BA	poly (ADP-ribose) polymerase family, member 12	ENSMUSP00000039704	ENSRNOP00000011481, ENSRNOP00000018782
ENOG410V6BZ	chloride channel	ENSMUSP00000029929, ENSMUSP00000096149, ENSMUSP00000054526, ENSMUSP00000036029, ENSMUSP00000029919, ENSMUSP00000029923, ENSMUSP00000124581	ENSRNOP00000017824, ENSRNOP00000018435, ENSRNOP00000018373, ENSRNOP00000052230, ENSRNOP00000017943
ENOG410V6BY	Protein tyrosine phosphatase, non-receptor type	ENSMUSP00000029433, ENSMUSP00000030556	ENSRNOP00000017907, ENSRNOP00000026556
ENOG410V6BX	coenzyme Q3 homolog, methyltransferase (S. cerevisiae)	ENSMUSP00000029909	ENSRNOP00000013384
ENOG410V6BV	Zinc finger protein 513	ENSMUSP00000110238	ENSRNOP00000040002
ENOG410V6BU	GPN-loop GTPase 1	ENSMUSP00000076217	ENSRNOP00000006599
ENOG410V6BT	syntaxin 6	ENSMUSP00000027743	ENSRNOP00000037536
ENOG410V6BS	Wolf-Hirschhorn syndrome candidate	ENSMUSP00000067205, ENSMUSP00000097089, ENSMUSP00000081040	ENSRNOP00000021952, ENSRNOP00000057648
ENOG410V6BR	vesicle amine transport protein 1 homolog (T	ENSMUSP00000053431, ENSMUSP00000048350	ENSRNOP00000028084, ENSRNOP00000015993
ENOG410V6BQ	Zinc finger protein 438	ENSMUSP00000067049	ENSRNOP00000033287
ENOG410V6B2	Zinc finger protein 790	ENSMUSP00000032796	ENSRNOP00000028158
ENOG410V6B1	MyoD family inhibitor	ENSMUSP00000037888	ENSRNOP00000020432
ENOG410V6B0	Pleckstrin homology-like domain family B member	ENSMUSP00000075672	ENSRNOP00000038800
ENOG410WHV7	nucleolin	ENSMUSP00000027438	ENSRNOP00000024712
ENOG410VE6S	Centrosomal protein 57kDa-like 1	ENSMUSP00000019951	ENSRNOP00000000331
ENOG410VE69	Olfactory receptor	ENSMUSP00000060748	ENSRNOP00000020957
ENOG410VE66	Prosaposin	ENSMUSP00000137476	ENSRNOP00000000696
ENOG410VE60	paired box 4	ENSMUSP00000031718	ENSRNOP00000010658
ENOG410VGV4	Basic helix-loop-helix transcription factor	ENSMUSP00000043668	ENSRNOP00000029792
ENOG410VGV5	chromosome 2 open reading frame 70	ENSMUSP00000031078	ENSRNOP00000013198
ENOG410VGVZ	C-type lectin domain family 12 member A	ENSMUSP00000063627	ENSRNOP00000065279
ENOG410VGVW	family with sequence similarity 89, member B	ENSMUSP00000097538	ENSRNOP00000016987
ENOG410VGVP	olfactory receptor, family 5, subfamily B, member 2	ENSMUSP00000049885	ENSRNOP00000064127
ENOG410VGVM	mitochondrial ribosomal protein, S26	ENSMUSP00000123324	ENSRNOP00000028828
ENOG410VGVH	Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity)	ENSMUSP00000070791, ENSMUSP00000071626	ENSRNOP00000048980, ENSRNOP00000032084
ENOG410V4ZY	Phospholipase A2, group VI (Cytosolic, calcium-independent)	ENSMUSP00000134672	ENSRNOP00000017104
ENOG410V4ZX	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	ENSMUSP00000027560	ENSRNOP00000025892
ENOG410V4ZQ	Nicotinamide nucleotide transhydrogenase	ENSMUSP00000096753	ENSRNOP00000029578
ENOG410V4ZN	RAS, dexamethasone-induced 1	ENSMUSP00000118070, ENSMUSP00000051959	ENSRNOP00000020017, ENSRNOP00000004475
ENOG410V4ZD	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	ENSMUSP00000023849	ENSRNOP00000014348
ENOG410V4ZF	denticleless E3 ubiquitin protein ligase homolog (Drosophila)	ENSMUSP00000027933	ENSRNOP00000005576
ENOG410VKP5	extracellular matrix constituent conferring elasticity	ENSMUSP00000015138	ENSRNOP00000030301
ENOG410V7VJ	SEC24 family, member	ENSMUSP00000045955, ENSMUSP00000035823	ENSRNOP00000012269
ENOG410V7VB	Glucuronic acid epimerase	ENSMUSP00000034785	ENSRNOP00000037789
ENOG410V7VQ	olfactory receptor, family 1, subfamily Q, member 1	ENSMUSP00000066272	ENSRNOP00000010473
ENOG410VTN1	IQ motif containing F4	ENSMUSP00000082192	ENSRNOP00000053224
ENOG410V7V0	deoxyribonuclease II	ENSMUSP00000003910	ENSRNOP00000014887
ENOG410V7TH	NK6 homeobox 3	ENSMUSP00000071517	ENSRNOP00000024532
ENOG410VKBU	chromosome 4 open reading frame	ENSMUSP00000034109	ENSRNOP00000015541
ENOG410V8Q9	Adenylate kinase 4	ENSMUSP00000099841	ENSRNOP00000065349
ENOG410V8Q1	fibroblast growth factor 7	ENSMUSP00000069681	ENSRNOP00000012700
ENOG410V8Q6	tet methylcytosine dioxygenase	ENSMUSP00000096203, ENSMUSP00000133279, ENSMUSP00000087049	ENSRNOP00000015296, ENSRNOP00000064018, ENSRNOP00000000302
ENOG410V8Q7	sterile alpha motif domain containing 8	ENSMUSP00000022292	ENSRNOP00000018023
ENOG410V8QH	Insulin-like growth factor binding protein-like 1	ENSMUSP00000036974	ENSRNOP00000015270
ENOG410V8QK	histamine receptor	ENSMUSP00000041061, ENSMUSP00000049963	ENSRNOP00000022744, ENSRNOP00000049380
ENOG410V8QD	scavenger receptor class B member	ENSMUSP00000031377, ENSMUSP00000080974, ENSMUSP00000083242	ENSRNOP00000003052, ENSRNOP00000061162, ENSRNOP00000063867, ENSRNOP00000058398, ENSRNOP00000060874
ENOG410V8QF	solute carrier family 35, member F5	ENSMUSP00000027580	ENSRNOP00000004581
ENOG410V8QG	scavenger receptor cysteine rich domain containing	ENSMUSP00000106782, ENSMUSP00000081556, ENSMUSP00000081497, ENSMUSP00000108160, ENSMUSP00000052126, ENSMUSP00000037168, ENSMUSP00000131905	ENSRNOP00000001953, ENSRNOP00000051764, ENSRNOP00000045430, ENSRNOP00000058828, ENSRNOP00000045146, ENSRNOP00000035553, ENSRNOP00000022480, ENSRNOP00000051793
ENOG410V8QZ	Secretogranin III	ENSMUSP00000034699	ENSRNOP00000014491
ENOG410VP13	Unknown	ENSMUSP00000119300	ENSRNOP00000047337
ENOG410V8QQ	ectonucleotide pyrophosphatase phosphodiesterase	ENSMUSP00000024756, ENSMUSP00000024757	ENSRNOP00000013703, ENSRNOP00000050116
ENOG410V8QT	Zinc finger with UFM1-specific peptidase domain	ENSMUSP00000037121	ENSRNOP00000000448
ENOG410V8QV	chromosome 2 open reading frame 61	ENSMUSP00000044250	ENSRNOP00000058459
ENOG410V8QW	S. cerevisiae	ENSMUSP00000099765, ENSMUSP00000066977	ENSRNOP00000058084, ENSRNOP00000018004
ENOG410V7T7	CWC22 spliceosome-associated protein homolog (S. cerevisiae)	ENSMUSP00000097534, ENSMUSP00000136546, ENSMUSP00000137022, ENSMUSP00000097530, ENSMUSP00000135979, ENSMUSP00000097531, ENSMUSP00000137026, ENSMUSP00000064947	ENSRNOP00000039180, ENSRNOP00000055154
ENOG410VCC3	activity-regulated cytoskeleton-associated protein	ENSMUSP00000023268	ENSRNOP00000063719
ENOG410WIGQ	glutamate receptor, ionotropic kainate 5	ENSMUSP00000003468	ENSRNOP00000027578
ENOG410VIP6	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)	ENSMUSP00000088935	ENSRNOP00000022048
ENOG410VIP2	SH3 domain binding glutamic acid-rich protein like	ENSMUSP00000033598	ENSRNOP00000045257
ENOG410VIP1	late endosomal lysosomal adaptor, MAPK and MTOR activator 5	ENSMUSP00000129012	ENSRNOP00000024473
ENOG410VIP8	chromosome 2 open reading frame 74	ENSMUSP00000020527	ENSRNOP00000053697
ENOG410VIPG	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)	ENSMUSP00000115090	ENSRNOP00000063917, ENSRNOP00000001536
ENOG410VIPD	chromosome 19 open reading frame 12	ENSMUSP00000070449	ENSRNOP00000020079
ENOG410VIPE	Ribonuclease, RNase A family, k6	ENSMUSP00000093613	ENSRNOP00000031392
ENOG410VIPN	myelin-associated oligodendrocyte basic protein	ENSMUSP00000071084	ENSRNOP00000025279
ENOG410VIPJ	chromatin accessibility complex 1	ENSMUSP00000087197	ENSRNOP00000012121
ENOG410VIPK	chromosome 1 open reading frame 115	ENSMUSP00000041904	ENSRNOP00000003177
ENOG410VIPI	Urocortin 3	ENSMUSP00000049678	ENSRNOP00000023887
ENOG410VIPV	keratin associated protein 26-1	ENSMUSP00000093626	ENSRNOP00000064074
ENOG410VFA1	PC4 and SFRS1 interacting protein 1	ENSMUSP00000030207	ENSRNOP00000016130
ENOG410V7T9	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	ENSMUSP00000023994	ENSRNOP00000009817
ENOG410VFAB	Produced by activated macrophages, IL-1 stimulates thymocyte proliferation by inducing IL-2 release, B-cell maturation and proliferation, and fibroblast growth factor activity. IL-1 proteins are involved in the inflammatory response, being identified as endogenous pyrogens, and are reported to stimulate the release of prostaglandin and collagenase from synovial cells	ENSMUSP00000028881	ENSRNOP00000006308
ENOG410VFAD	MAP6 domain containing 1	ENSMUSP00000043332	ENSRNOP00000054851
ENOG410VINW	ribosomal protein L34	ENSMUSP00000078092	ENSRNOP00000054703, ENSRNOP00000009046
ENOG410VGAW	olfactory receptor, family 13, subfamily C, member 8	ENSMUSP00000055721	ENSRNOP00000039243
ENOG410VGAS	ankyrin repeat domain 23	ENSMUSP00000061168	ENSRNOP00000032505
ENOG410VGAM	Catalyzes the conversion of PGH2 to PGD2, a prostaglandin involved in smooth muscle contraction relaxation and a potent inhibitor of platelet aggregation. Involved in a variety of CNS functions, such as sedation, NREM sleep and PGE2-induced allodynia, and may have an anti-apoptotic role in oligodendrocytes. Binds small non-substrate lipophilic molecules, including biliverdin, bilirubin, retinal, retinoic acid and thyroid hormone, and may act as a scavenger for harmful hydrophopic molecules and as a secretory retinoid and thyroid hormone transporter. Possibly involved in development and maintenance of the blood-brain, blood-retina, blood-aqueous humor and blood-testis barrier. It is likely to play important roles in both maturation and maintenance of the central nervous system and male reproductive system	ENSMUSP00000015234	ENSRNOP00000020926
ENOG410VGAE	glutathione peroxidase	ENSMUSP00000094863	ENSRNOP00000018691
ENOG410V522	presenilin associated, rhomboid-like	ENSMUSP00000045361	ENSRNOP00000029124
ENOG410V525	G protein-coupled receptor 31	ENSMUSP00000089237	ENSRNOP00000056869
ENOG410V52R	Kruppel-like factor 1 (erythroid)	ENSMUSP00000064366	ENSRNOP00000004601
ENOG410V52W	family with sequence similarity 213, member A	ENSMUSP00000022317	ENSRNOP00000014819
ENOG410V52X	nucleoporin 205kDa	ENSMUSP00000039656	ENSRNOP00000014833
ENOG410V52Y	Density-regulated protein	ENSMUSP00000023869	ENSRNOP00000001467
ENOG410V52A	Even-skipped homeobox	ENSMUSP00000031787, ENSMUSP00000134131	ENSRNOP00000063934, ENSRNOP00000002156, ENSRNOP00000010605
ENOG410V52F	Neuralized homolog	ENSMUSP00000051481, ENSMUSP00000107439	ENSRNOP00000051580, ENSRNOP00000032620
ENOG410V52K	Estrogen-related receptor	ENSMUSP00000027906, ENSMUSP00000025906, ENSMUSP00000105833	ENSRNOP00000003489, ENSRNOP00000013867, ENSRNOP00000028697
ENOG410V52M	Guanine nucleotide binding protein-like 1	ENSMUSP00000084450	ENSRNOP00000045697
ENOG410VPZP	Olfactory receptor	ENSMUSP00000097453	ENSRNOP00000042871
ENOG410WDYR	nuclear receptor corepressor 2	ENSMUSP00000083250	ENSRNOP00000001334
ENOG410WFIT	syntrophin, alpha 1	ENSMUSP00000105350	ENSRNOP00000021715
ENOG410WFIN	Tectonin beta-propeller repeat containing 2	ENSMUSP00000126749	ENSRNOP00000035369
ENOG410WFII	sorting nexin family member 27	ENSMUSP00000102904	ENSRNOP00000067026
ENOG410VB04	solute carrier family 30 (zinc transporter), member 4	ENSMUSP00000005952	ENSRNOP00000000184
