ortholog	function	Homo_sapiens	Pan_troglodytes
ENOG410V4VW	Serine threonine-protein kinase D	ENSP00000333568, ENSP00000291281, ENSP00000234179	ENSPTRP00000019204, ENSPTRP00000020330, ENSPTRP00000010577
ENOG410V4VV	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSP00000262193	ENSPTRP00000032145
ENOG410VB5J	THymidine Kinase	ENSP00000301634	ENSPTRP00000016505
ENOG410VB5N	Hermansky-Pudlak syndrome 3	ENSP00000296051	ENSPTRP00000026709
ENOG410VB5B	leucine rich repeat transmembrane neuronal	ENSP00000355187, ENSP00000386357	ENSPTRP00000020782, ENSPTRP00000004388
ENOG410VB5C	olfactory receptor, family 3, subfamily A, member	ENSP00000291231, ENSP00000386180, ENSP00000313803	ENSPTRP00000054937, ENSPTRP00000014613
ENOG410VB5G	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14	ENSP00000307297	ENSPTRP00000011817
ENOG410VB5D	Translin	ENSP00000374332	ENSPTRP00000021261
ENOG410VB5E	Glutathione S-transferase	ENSP00000345023, ENSP00000358727	ENSPTRP00000005157, ENSPTRP00000005155
ENOG410VB5Z	inositol-3-phosphate synthase 1	ENSP00000337746	ENSPTRP00000018271
ENOG410VB5X	protein tyrosine phosphatase domain containing 1	ENSP00000288976	ENSPTRP00000036116
ENOG410VB5R	Headcase homolog (Drosophila)	ENSP00000356630	ENSPTRP00000031842
ENOG410VB5S	Coagulation factor II (Thrombin) receptor-like 2	ENSP00000296641	ENSPTRP00000029118
ENOG410VB5P	Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing	ENSP00000263635, ENSP00000387593	ENSPTRP00000021472, ENSPTRP00000016145
ENOG410VB5Q	Exocyst complex component 1	ENSP00000326514	ENSPTRP00000041760
ENOG410VB5V	Glutathione S-transferase Mu	ENSP00000256593	ENSPTRP00000001837
ENOG410VB5W	Flotillin	ENSP00000372873, ENSP00000391438, ENSP00000373056, ENSP00000378368, ENSP00000365569, ENSP00000388861	ENSPTRP00000058127, ENSPTRP00000030607
ENOG410VB5T	phospholipase D family, member 6	ENSP00000317177	ENSPTRP00000015049
ENOG410VB5U	family with sequence similarity 227, member B	ENSP00000299338	ENSPTRP00000012059
ENOG410VB58	glucokinase (hexokinase 4) regulator	ENSP00000264717	ENSPTRP00000020223
ENOG410VB52	tRNA nucleotidyl transferase, CCA-adding, 1	ENSP00000251607	ENSPTRP00000025112
ENOG410VB50	zinc finger protein 114	ENSP00000318898	ENSPTRP00000048575
ENOG410VB51	CTS telomere maintenance complex component 1	ENSP00000313759	ENSPTRP00000014881
ENOG410VB56	YLP motif containing 1	ENSP00000324463	ENSPTRP00000011104
ENOG410VB57	Mitochondrial ribosomal protein L38	ENSP00000308275	ENSPTRP00000016418
ENOG410VB54	Transmembrane channel-like	ENSP00000351732, ENSP00000352413, ENSP00000297784	ENSPTRP00000035938, ENSPTRP00000043041, ENSPTRP00000042053
ENOG410VB55	t-box transcription factor	ENSP00000358677, ENSP00000207157	ENSPTRP00000031422, ENSPTRP00000002002
ENOG410V8X8	katanin p60	ENSP00000335106, ENSP00000245121, ENSP00000369989	ENSPTRP00000009792, ENSPTRP00000031901, ENSPTRP00000017002
ENOG410VIJZ	Ribonuclease P MRP 14kDa subunit	ENSP00000295959	ENSPTRP00000026008
ENOG410VIJD	polymerase (RNA) II (DNA directed) polypeptide D	ENSP00000272645	ENSPTRP00000021299
ENOG410VIJE	chromosome 10 open reading frame 32	ENSP00000299353	ENSPTRP00000039760
ENOG410VIJG	VMA21 vacuolar H -ATPase homolog (S. cerevisiae)	ENSP00000333255	ENSPTRP00000045028
ENOG410VIJC	S100 calcium binding protein A16	ENSP00000357692	ENSPTRP00000044185
ENOG410VIJN	LEM domain containing 1	ENSP00000356121	ENSPTRP00000003180
ENOG410VIJH	cysteine-rich, DPF motif domain containing 1	ENSP00000325301	ENSPTRP00000049609
ENOG410VIJ6	GAR1 ribonucleoprotein homolog (yeast)	ENSP00000226796	ENSPTRP00000028109
ENOG410VIJ7	phosphoinositide-interacting regulator of transient receptor potential channels	ENSP00000462046	ENSPTRP00000060503
ENOG410V96A	Autophagy-related protein 3	ENSP00000283290	ENSPTRP00000026253
ENOG410V96C	WD repeat-containing protein	ENSP00000295121	ENSPTRP00000020605
ENOG410V96D	coiled-coil domain containing 173	ENSP00000391504	ENSPTRP00000021555
ENOG410V96E	Parvin, gamma	ENSP00000391453	ENSPTRP00000024957
ENOG410V96F	Forkhead box P3	ENSP00000365380, ENSP00000471366	ENSPTRP00000037587
ENOG410V96H	Activin A receptor type	ENSP00000340361, ENSP00000241416	ENSPTRP00000021405, ENSPTRP00000025456
ENOG410V96I	tetratricopeptide repeat domain 9	ENSP00000256367	ENSPTRP00000060241
ENOG410V96J	SideroFleXiN	ENSP00000224807, ENSP00000358909, ENSP00000316905	ENSPTRP00000029973, ENSPTRP00000005105, ENSPTRP00000005039
ENOG410V96K	Meiosis-specific nuclear structural 1	ENSP00000260453	ENSPTRP00000012145
ENOG410V96M	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation (By similarity)	ENSP00000429931	ENSPTRP00000035100
ENOG410V96N	Insulin-like growth factor 2 receptor	ENSP00000349437	ENSPTRP00000032027
ENOG410V96P	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase	ENSP00000326170, ENSP00000466834	ENSPTRP00000015366
ENOG410V96Q	breakpoint cluster region	ENSP00000303507, ENSP00000303909	ENSPTRP00000039219, ENSPTRP00000014533
ENOG410V96R	DBF4 homolog (S. cerevisiae)	ENSP00000265728	ENSPTRP00000047883
ENOG410V96T	zinc activated ligand-gated ion channel	ENSP00000334854	ENSPTRP00000016436
ENOG410V96U	Cathepsin K	ENSP00000271651	ENSPTRP00000002145
ENOG410V96V	interleukin 10 receptor, alpha	ENSP00000227752	ENSPTRP00000007427
ENOG410V96W	Ubiquitin specific peptidase	ENSP00000274030, ENSP00000345216	ENSPTRP00000028161, ENSPTRP00000004570
ENOG410V96X	growth arrest and DNA-damage-inducible, beta	ENSP00000215631	ENSPTRP00000049132
ENOG410V960	potassium channel tetramerisation domain containing 21	ENSP00000339340	ENSPTRP00000007078
ENOG410V961	PR domain containing 10	ENSP00000351686	ENSPTRP00000007657
ENOG410V962	Cyclin-dependent kinase-like	ENSP00000379176, ENSP00000265334, ENSP00000412365, ENSP00000368080	ENSPTRP00000029494, ENSPTRP00000027791, ENSPTRP00000057909, ENSPTRP00000010728
ENOG410V964	kiaa1009	ENSP00000385215	ENSPTRP00000031419
ENOG410V966	Chromosome 11 open reading frame 63	ENSP00000227349	ENSPTRP00000007537
ENOG410V968	lectin, mannose-binding 1	ENSP00000251047	ENSPTRP00000017093
ENOG410V969	Calreticulin	ENSP00000269881, ENSP00000320866	ENSPTRP00000018010, ENSPTRP00000018169
ENOG410VE37	Chromosome 1 open reading frame 131	ENSP00000355609	ENSPTRP00000003561
ENOG410VE36	G protein-coupled receptor 88	ENSP00000314223	ENSPTRP00000001732
ENOG410VE35	peptidoglycan-binding, domain containing 4	ENSP00000342840	ENSPTRP00000012809
ENOG410VE34	chromosome 8 open reading frame 74	ENSP00000307129	ENSPTRP00000034217
ENOG410VE33	G protein pathway suppressor 2	ENSP00000370104	ENSPTRP00000014796
ENOG410VE30	Peroxisome proliferator-activated receptor gamma, coactivator 1 beta	ENSP00000312649	ENSPTRP00000029738
ENOG410VE39	solute carrier family 39 (zinc transporter), member 3	ENSP00000269740	ENSPTRP00000017407
ENOG410VE38	calcyon neuron-specific vesicular protein	ENSP00000252939	ENSPTRP00000005444
ENOG410VE3G	chromosome 20 open reading frame 201	ENSP00000310801	ENSPTRP00000023730
ENOG410VE3F	Glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (Glutamate binding)	ENSP00000456043, ENSP00000314380	ENSPTRP00000035363
ENOG410VE3D	keratin, type II	ENSP00000293670, ENSP00000257901, ENSP00000369349, ENSP00000452237, ENSP00000293525	ENSPTRP00000008485, ENSPTRP00000008486, ENSPTRP00000008484, ENSPTRP00000050275
ENOG410VE3C	zinc finger protein 511	ENSP00000355251	ENSPTRP00000040811
ENOG410VE3B	Origin recognition complex, subunit 2	ENSP00000234296	ENSPTRP00000021863
ENOG410VE3A	chromosome 1 open reading frame 85	ENSP00000354553	ENSPTRP00000002460
ENOG410VE3N	glutathione peroxidase	ENSP00000407375, ENSP00000374265	ENSPTRP00000051383, ENSPTRP00000052602
ENOG410VE3J	IZUMO family member 3	ENSP00000438895	ENSPTRP00000049397
ENOG410VE3V	chromosome 20 open reading frame 96	ENSP00000353470	ENSPTRP00000039230
ENOG410VE3U	RERG Ras-like	ENSP00000229002	ENSPTRP00000008090
ENOG410VE3T	Palmdelphin	ENSP00000263174	ENSPTRP00000001710
ENOG410VE3S	Zinc finger matrin-type	ENSP00000361868	ENSPTRP00000038045, ENSPTRP00000042015
ENOG410VE3R	adhesion molecule, interacts with CXADR antigen 1	ENSP00000348635	ENSPTRP00000042092
ENOG410VE3Y	homeobox	ENSP00000305973, ENSP00000353151	ENSPTRP00000008562, ENSPTRP00000041603
ENOG410VE3X	filaggrin family member 2	ENSP00000373370, ENSP00000357791, ENSP00000357789	ENSPTRP00000051765, ENSPTRP00000002232, ENSPTRP00000051766
ENOG410WG34	smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	ENSP00000425133	ENSPTRP00000002946
ENOG410WG35	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	ENSP00000355261	ENSPTRP00000041464
ENOG410WG3M	protein arginine methyltransferase 10	ENSP00000314396	ENSPTRP00000028315
ENOG410VEQS	HERV-H LTR-associating 2	ENSP00000350402	ENSPTRP00000046950
ENOG410VEQH	Uronyl-2-sulfotransferase	ENSP00000356433	ENSPTRP00000044609
ENOG410VEQK	protein C receptor, endothelial	ENSP00000216968	ENSPTRP00000052237
ENOG410VEQJ	Pyrimidinergic receptor P2Y, G-protein coupled, 6	ENSP00000309771	ENSPTRP00000006953
ENOG410V89P	Rhomboid, veinlet-like	ENSP00000289248, ENSP00000219551, ENSP00000269051	ENSPTRP00000046891, ENSPTRP00000000988, ENSPTRP00000012897
ENOG410V89Q	Damage-specific DNA binding protein 1, 127kDa	ENSP00000301764	ENSPTRP00000048051
ENOG410V89R	Methyltransferase like 18	ENSP00000307077	ENSPTRP00000002768
ENOG410V89S	developing brain homeobox 1	ENSP00000227256	ENSPTRP00000005982
ENOG410V89T	myeloid cell nuclear differentiation antigen	ENSP00000357123, ENSP00000357113, ENSP00000357112, ENSP00000357122	ENSPTRP00000002557, ENSPTRP00000002548, ENSPTRP00000002552, ENSPTRP00000051692
ENOG410V89U	IQ motif containing D	ENSP00000299732	ENSPTRP00000009307
ENOG410V89V	zinc finger and SCAN domain containing 22	ENSP00000332433	ENSPTRP00000019928
ENOG410V89W	visinin-like 1	ENSP00000295156, ENSP00000361935	ENSPTRP00000020068, ENSPTRP00000001001
ENOG410V89Y	bone morphogenetic protein	ENSP00000368104, ENSP00000245451	ENSPTRP00000022701, ENSPTRP00000010780
ENOG410V89A	EF-hand calcium binding domain 6	ENSP00000262726	ENSPTRP00000024941
ENOG410V89C	Heparanase	ENSP00000308107, ENSP00000359583	ENSPTRP00000004961, ENSPTRP00000027886
ENOG410V89D	mannosyl-oligosaccharide glucosidase	ENSP00000233616	ENSPTRP00000020746
ENOG410V89E	Phosphatidylinositol glycan anchor biosynthesis, class S	ENSP00000309430	ENSPTRP00000015229
ENOG410V89F	chromosome 1 open reading frame 173	ENSP00000322609	ENSPTRP00000001497
ENOG410V89G	UTP6, small subunit (SSU) processome component, homolog (yeast)	ENSP00000261708	ENSPTRP00000015321
ENOG410V89I	Chromosome 12 open reading frame 66	ENSP00000381132	ENSPTRP00000008794
ENOG410V89J	nudix (nucleoside diphosphate linked moiety X)-type motif 19	ENSP00000380251	ENSPTRP00000055463
ENOG410V89K	Autophagy related	ENSP00000366475, ENSP00000353010	ENSPTRP00000040178, ENSPTRP00000006638
ENOG410V89M	Leucine rich repeat containing 47	ENSP00000367498	ENSPTRP00000052915
ENOG410V89N	SAP30 binding protein	ENSP00000462116	ENSPTRP00000052728
ENOG410V890	C-type lectin domain family 3 member A	ENSP00000460682	ENSPTRP00000014300
ENOG410V892	Solute carrier family 16, member 5 (Monocarboxylic acid transporter 6)	ENSP00000330141	ENSPTRP00000016366
ENOG410V893	Topoisomerase (DNA) I	ENSP00000328835, ENSP00000354522	ENSPTRP00000023175, ENSPTRP00000058183
ENOG410V894	NK2 homeobox 3	ENSP00000342828	ENSPTRP00000004969
ENOG410V895	Abhydrolase domain containing 2	ENSP00000268129	ENSPTRP00000012695
ENOG410V896	SPARC related modular calcium binding	ENSP00000346537, ENSP00000355110	ENSPTRP00000011000, ENSPTRP00000032129
ENOG410V898	receptor accessory protein 3	ENSP00000362863	ENSPTRP00000055741
ENOG410V899	Chordin-like	ENSP00000361112, ENSP00000263671	ENSPTRP00000006997, ENSPTRP00000038186
ENOG410VDD6	Solute carrier family 43 member	ENSP00000337561	ENSPTRP00000006316
ENOG410VDD5	UBA domain containing 1	ENSP00000360821	ENSPTRP00000036889
ENOG410VDD2	Membrane bound O-acyltransferase domain containing 4	ENSP00000314196	ENSPTRP00000034460
ENOG410VDD1	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)	ENSP00000348471	ENSPTRP00000019950
ENOG410VDD0	alkB, alkylation repair homolog 8 (E. coli)	ENSP00000374219	ENSPTRP00000047669
ENOG410VDD9	Forkhead box O4	ENSP00000363377	ENSPTRP00000059402
ENOG410VDD8	olfactory receptor, family 6, subfamily	ENSP00000334721, ENSP00000304807	ENSPTRP00000002533, ENSPTRP00000002540
ENOG410VDDV	IZUMO family member 4	ENSP00000378712	ENSPTRP00000057480
ENOG410VDDU	Zinc finger protein 768	ENSP00000369777	ENSPTRP00000013680
ENOG410VDDR	coiled-coil domain containing 14	ENSP00000395706	ENSPTRP00000026394
ENOG410VDDP	Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes a protein kinase and an oligoadenylate synthetase	ENSP00000369558, ENSP00000369553, ENSP00000259555, ENSP00000369566, ENSP00000369554, ENSP00000412897, ENSP00000369574, ENSP00000239347, ENSP00000369571, ENSP00000411940	ENSPTRP00000035606, ENSPTRP00000060309, ENSPTRP00000035599, ENSPTRP00000049409, ENSPTRP00000049405, ENSPTRP00000035607, ENSPTRP00000035604
ENOG410VDDZ	V-set and immunoglobulin domain containing 10 like	ENSP00000335623	ENSPTRP00000048512
ENOG410VDDY	FUN14 domain containing 1	ENSP00000367284	ENSPTRP00000047438
ENOG410VDDX	zinc finger with KRAB and SCAN domains 1	ENSP00000323148	ENSPTRP00000033315
ENOG410VDDG	Aly REF export factor	ENSP00000421592	ENSPTRP00000016638
ENOG410VDDD	Adaptor-related protein complex 4, beta 1 subunit	ENSP00000256658	ENSPTRP00000001937
ENOG410VDDB	chromosome 15 open reading frame 59	ENSP00000369150	ENSPTRP00000051368
ENOG410VDDN	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)	ENSP00000243918	ENSPTRP00000045237
ENOG410VDDJ	ubiquitin carboxyl-terminal hydrolase	ENSP00000334808, ENSP00000333376	ENSPTRP00000023809
ENOG410VDDI	transmembrane protein 187	ENSP00000358999, ENSP00000468900	ENSPTRP00000038646
ENOG410VDDH	MIS12, MIND kinetochore complex component, homolog (S. pombe)	ENSP00000370557	ENSPTRP00000057455
ENOG410V674	stress-induced-phosphoprotein 1	ENSP00000305958	ENSPTRP00000042319
ENOG410V675	mitochondrial ribosomal protein, S35	ENSP00000081029	ENSPTRP00000008183
ENOG410V676	WD repeat domain 89	ENSP00000267522	ENSPTRP00000010896
ENOG410V677	Patched 1	ENSP00000361266, ENSP00000332353	ENSPTRP00000001152
ENOG410V670	Pericentriolar material 1	ENSP00000327077	ENSPTRP00000034290
ENOG410V671	forkhead box J1	ENSP00000323880	ENSPTRP00000016444
ENOG410V672	Coiled-coil domain containing 47	ENSP00000225726	ENSPTRP00000016169
ENOG410V673	chromosome 19 open reading frame 45	ENSP00000355241	ENSPTRP00000017675
ENOG410V678	Asparaginyl-tRNA synthetase	ENSP00000256854	ENSPTRP00000017072
ENOG410V679	zinc finger protein 335	ENSP00000325326	ENSPTRP00000023326
ENOG410V67T	minichromosome maintenance complex component 7	ENSP00000307288	ENSPTRP00000033323
ENOG410V67U	DIRAS family, GTP-binding Ras-like	ENSP00000325836, ENSP00000364919	ENSPTRP00000049130, ENSPTRP00000036058
ENOG410V67V	Potassium voltage-gated channel	ENSP00000295082, ENSP00000430846, ENSP00000360806	ENSPTRP00000034810, ENSPTRP00000023409, ENSPTRP00000052192
ENOG410V67W	Transmembrane protein 56	ENSP00000359222	ENSPTRP00000001690
ENOG410V67P	Ubiquitin-conjugating enzyme E2Q family member	ENSP00000267938, ENSP00000292211	ENSPTRP00000012499, ENSPTRP00000002337
ENOG410V67R	Werner helicase interacting protein 1	ENSP00000370150	ENSPTRP00000050643
ENOG410V67S	cAMP responsive element binding protein 3-like	ENSP00000434939, ENSP00000329140	ENSPTRP00000033813, ENSPTRP00000006153
ENOG410V67X	SET binding factor	ENSP00000370196, ENSP00000256190	ENSPTRP00000044530
ENOG410V67Y	mitogen-activated protein kinase kinase kinase 8	ENSP00000263056	ENSPTRP00000004070
ENOG410V67Z	Phosphatidylserine synthase	ENSP00000308258, ENSP00000430548	ENSPTRP00000005491, ENSPTRP00000034955
ENOG410V67D	Reticulocalbin 2, EF-hand calcium binding domain	ENSP00000378349	ENSPTRP00000057340
ENOG410V67E	Structural maintenance of chromosomes	ENSP00000341382	ENSPTRP00000045447
ENOG410V67G	empty spiracles homeobox	ENSP00000258106, ENSP00000358202	ENSPTRP00000005259, ENSPTRP00000057829
ENOG410V67A	tetratricopeptide repeat domain 38	ENSP00000370419	ENSPTRP00000025005
ENOG410V67B	acetylserotonin O-methyltransferase-like	ENSP00000370718	ENSPTRP00000042286
ENOG410V67M	Guanine nucleotide binding protein (G protein)	ENSP00000286548, ENSP00000078429, ENSP00000365807	ENSPTRP00000035965, ENSPTRP00000049267
ENOG410V67N	Rhomboid domain containing 1	ENSP00000344779	ENSPTRP00000045773
ENOG410V67H	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)	ENSP00000265441, ENSP00000222462, ENSP00000225512, ENSP00000284523, ENSP00000308887, ENSP00000264634, ENSP00000341032, ENSP00000358698, ENSP00000293549, ENSP00000290167, ENSP00000285018	ENSPTRP00000001912, ENSPTRP00000033593, ENSPTRP00000008364, ENSPTRP00000000549, ENSPTRP00000025968, ENSPTRP00000042693, ENSPTRP00000007733, ENSPTRP00000015851, ENSPTRP00000033610, ENSPTRP00000051074
ENOG410V67J	component of oligomeric golgi complex 1	ENSP00000299886	ENSPTRP00000016297
ENOG410V4K8	Promotes the disassembly of phosphorylated vimentin intermediate filaments (IF) during mitosis and may play a role in the trafficking and distribution of IF proteins and other cellular factors to daughter cells during progenitor cell division	ENSP00000357206	ENSPTRP00000002483
ENOG410V4K6	Myosin XVIIIA	ENSP00000437073, ENSP00000334563	ENSPTRP00000055366
ENOG410V4K5	ubiquitin-conjugating enzyme E2H	ENSP00000347836	ENSPTRP00000061001
ENOG410V4K2	AT rich interactive domain 5A (MRF1-like)	ENSP00000350078	ENSPTRP00000020966
ENOG410V4K3	Isoleucyl-tRNA synthetase 2, mitochondrial	ENSP00000303279	ENSPTRP00000003348
ENOG410V4K0	transmembrane and tetratricopeptide repeat containing 1	ENSP00000442046	ENSPTRP00000008197
ENOG410V4K1	FK-506 binding protein	ENSP00000001008, ENSP00000338160	ENSPTRP00000007751, ENSPTRP00000030899
ENOG410V4KG	Calcium activated nucleotidase 1	ENSP00000307674	ENSPTRP00000052690
ENOG410V4KB	malic enzyme	ENSP00000321070, ENSP00000352657, ENSP00000358719	ENSPTRP00000007130, ENSPTRP00000031411, ENSPTRP00000017045
ENOG410V4KZ	pigeon homolog (Drosophila)	ENSP00000257626	ENSPTRP00000033068
ENOG410V4KY	Runt-related transcription factor	ENSP00000343477, ENSP00000300305, ENSP00000360493	ENSPTRP00000000614, ENSPTRP00000053966, ENSPTRP00000000612
ENOG410V4KW	Non imprinted in Prader-Willi Angelman syndrome 1	ENSP00000337452	ENSPTRP00000011652
ENOG410V4KQ	Phospholipase C gamma	ENSP00000244007, ENSP00000352336	ENSPTRP00000023178, ENSPTRP00000014330
ENOG410VTHN	t-complex protein 10A homolog	ENSP00000380929, ENSP00000355797	ENSPTRP00000032109
ENOG410V6M0	Citrate lyase beta like	ENSP00000342991	ENSPTRP00000041079
ENOG410V9MA	Prostaglandin D2 receptor 2	ENSP00000332812	ENSPTRP00000006404
ENOG410V9ME	Biglycan	ENSP00000471199, ENSP00000364694, ENSP00000327336	ENSPTRP00000042754, ENSPTRP00000036080
ENOG410V9MD	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta	ENSP00000380109	ENSPTRP00000018630
ENOG410V9MG	sterile alpha motif domain containing	ENSP00000306381, ENSP00000350261, ENSP00000317224	ENSPTRP00000040323, ENSPTRP00000018788
ENOG410V9MI	ATP-binding cassette, subfamily G (WHITE), member 5	ENSP00000260645	ENSPTRP00000020391
ENOG410V9MH	M-phase phosphoprotein 9	ENSP00000445859	ENSPTRP00000009514
ENOG410V9MK	Phosphatidylethanolamine binding protein 1	ENSP00000261313	ENSPTRP00000009358
ENOG410V9MJ	Spermatogenesis associated 5	ENSP00000274008, ENSP00000351777	ENSPTRP00000035748, ENSPTRP00000028200
ENOG410V9MN	chromosome 7 open reading frame 62	ENSP00000297203	ENSPTRP00000033149
ENOG410V9MP	ARP1 actin-related protein 1 homolog	ENSP00000289228, ENSP00000358921	ENSPTRP00000005101, ENSPTRP00000021007
ENOG410V9MS	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing	ENSP00000337854	ENSPTRP00000016676
ENOG410V9MR	endo-beta-N-acetylglucosaminidase	ENSP00000462333	ENSPTRP00000016540
ENOG410V9MU	t-complex protein 1 subunit	ENSP00000258091, ENSP00000317334	ENSPTRP00000020696, ENSPTRP00000032017
ENOG410V9MT	Zinc finger protein	ENSP00000347730, ENSP00000394757	ENSPTRP00000018469, ENSPTRP00000017196
ENOG410V9MV	major facilitator superfamily domain containing 3	ENSP00000301327	ENSPTRP00000035427
ENOG410V9MZ	Armadillo repeat containing 4	ENSP00000306410	ENSPTRP00000050715
ENOG410V9M1	mab-21-like 3 (C. elegans)	ENSP00000358512	ENSPTRP00000001969
ENOG410V9M0	transmembrane protein 53	ENSP00000361311	ENSPTRP00000001144
ENOG410V9M3	Activating transcription factor 1	ENSP00000262053	ENSPTRP00000008439
ENOG410V9M2	Chromosome 12 open reading frame 52	ENSP00000410395	ENSPTRP00000009305
ENOG410V9M4	Kelch domain containing 10	ENSP00000334140	ENSPTRP00000033724
ENOG410V9M7	Ly6 Plaur domain containing 5	ENSP00000367185	ENSPTRP00000061386
ENOG410V9M6	vascular endothelial growth factor c	ENSP00000280193	ENSPTRP00000028508
ENOG410V9M9	Keratin 40	ENSP00000366984, ENSP00000459621	ENSPTRP00000015612
ENOG410WHN2	Zinc finger, BED-type containing 4	ENSP00000216268	ENSPTRP00000025034
ENOG410WHNU	synergin gamma	ENSP00000343610	ENSPTRP00000015437
ENOG410VEN5	Acidic leucine-rich nuclear phosphoprotein 32 family member E	ENSP00000324074, ENSP00000463154	ENSPTRP00000002116
ENOG410VEN6	zinc finger with KRAB and SCAN domains 2	ENSP00000380174, ENSP00000331626	ENSPTRP00000013511, ENSPTRP00000011944
ENOG410VEN0	Ribosome biogenesis protein	ENSP00000455106, ENSP00000304151, ENSP00000366629	ENSPTRP00000035390
ENOG410VEN2	chromosome 15 open reading frame 57	ENSP00000452773	ENSPTRP00000044504
ENOG410VEN3	inscuteable homolog (Drosophila)	ENSP00000368872	ENSPTRP00000048231
ENOG410VEN8	Chromosome 15 open reading frame 52	ENSP00000453969	ENSPTRP00000051624
ENOG410VEN9	V-set and transmembrane domain containing 2B	ENSP00000335038	ENSPTRP00000018459
ENOG410VEND	Zinc finger, matrin-type	ENSP00000274712	ENSPTRP00000029620
ENOG410VENA	protocadherin 12	ENSP00000231484	ENSPTRP00000029663
ENOG410VENB	Membrane-spanning 4-domains, subfamily A, member 7	ENSP00000300184	ENSPTRP00000006392
ENOG410VENM	non-SMC condensin II complex, subunit H2	ENSP00000299821	ENSPTRP00000025078
ENOG410VENN	Zinc finger protein 713	ENSP00000416662	ENSPTRP00000032815
ENOG410VENH	N-acetylneuraminic acid synthase	ENSP00000210444	ENSPTRP00000036182
ENOG410VENJ	vomeronasal 1 receptor	ENSP00000322339	ENSPTRP00000054621
ENOG410VENV	Unknown	ENSP00000446137, ENSP00000463888	ENSPTRP00000061083
ENOG410VENW	mesoderm development candidate 2	ENSP00000261758	ENSPTRP00000012588
ENOG410VENP	Translational activator of mitochondrially encoded cytochrome c oxidase I	ENSP00000258975	ENSPTRP00000016156
ENOG410VENQ	RAS-like, family 10, member A	ENSP00000216101	ENSPTRP00000024481
ENOG410VENR	Ets variant 7	ENSP00000341843	ENSPTRP00000030926
ENOG410VENS	chromosome X open reading frame 66	ENSP00000359571	ENSPTRP00000047239
ENOG410VENZ	protein phosphatase 1, regulatory subunit 10	ENSP00000416060, ENSP00000413554, ENSP00000365694, ENSP00000373080, ENSP00000407310, ENSP00000407181, ENSP00000389299	ENSPTRP00000030588
ENOG410V6VC	nuclear receptor co-repressor	ENSP00000268712	ENSPTRP00000056927
ENOG410V6VA	NK2 homeobox 2	ENSP00000366347	ENSPTRP00000022825
ENOG410V6VG	CaM kinase-like vesicle-associated	ENSP00000419195	ENSPTRP00000025786
ENOG410V6VW	Netrin G2	ENSP00000376921, ENSP00000359085	ENSPTRP00000052006, ENSPTRP00000036781
ENOG410V6V9	LMBR1 domain containing 1	ENSP00000359609	ENSPTRP00000031311
ENOG410V6V4	5-hydroxytryptamine (Serotonin) receptor	ENSP00000367959, ENSP00000469897, ENSP00000276198	ENSPTRP00000009967, ENSPTRP00000038211
ENOG410VNS1	chromosome 1 open reading frame 195	ENSP00000365173	ENSPTRP00000052831
ENOG410V8NN	chromosome 14 open reading frame 166	ENSP00000261700	ENSPTRP00000010753
ENOG410VDY4	MAX dimerization protein 4	ENSP00000337889	ENSPTRP00000045480
ENOG410VDY5	Zinc finger protein 684	ENSP00000361784	ENSPTRP00000001024
ENOG410VDY7	Ceroid-lipofuscinosis, neuronal 8 (Epilepsy, progressive with mental retardation)	ENSP00000328182	ENSPTRP00000034154
ENOG410VDY0	Ly6 Plaur domain containing 3	ENSP00000244333	ENSPTRP00000019031
ENOG410VDY2	Interferon stimulated exonuclease gene 20kDa-like 2	ENSP00000323424	ENSPTRP00000002486
ENOG410VDY3	Chromosome 10 open reading frame 107	ENSP00000328698	ENSPTRP00000055917
ENOG410VDY8	Ribosomal RNA processing 1 homolog	ENSP00000339145, ENSP00000417464	ENSPTRP00000053932, ENSPTRP00000024025
ENOG410VDY9	methionine sulfoxide reductase	ENSP00000347324, ENSP00000365693	ENSPTRP00000050733, ENSPTRP00000039163
